Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles,Combined - average years of education for 15-64 years female youth and adults,Population (historical estimates),Continent
Africa,,2020,,6.330153,1360677453.0,
Argentina,ARG,2020,0.7700813,10.04,45036032.0,
Asia,,2020,,8.251322,4663086623.0,
Bangladesh,BGD,2020,2.8767538,7.88,167420944.0,
Belgium,BEL,2020,0.41137648,11.72,11561716.0,
Benin,BEN,2020,8.603434,5.39,12643121.0,
Brazil,BRA,2020,1.4695511,8.31,213196304.0,
Cameroon,CMR,2020,7.2423186,6.93,26491090.0,
Canada,CAN,2020,0.51144093,13.18,37888704.0,
China,CHN,2020,0.74388134,8.73,1424929792.0,
Ecuador,ECU,2020,1.292855,9.18,17588596.0,
Egypt,EGY,2020,1.9584423,7.62,107465128.0,
Europe,,2020,0.4562716,11.947029,747462669.0,
Fiji,FJI,2020,2.7475383,11.61,920430.0,
Finland,FIN,2020,0.22240038,11.34,5529468.0,
Germany,DEU,2020,0.36487424,12.96,83328992.0,
Ghana,GHA,2020,4.55024,7.9,32180402.0,
Haiti,HTI,2020,6.0505757,5.17,11306804.0,
India,IND,2020,3.2376912,7.15,1396387072.0,
Indonesia,IDN,2020,2.293901,8.92,271857984.0,
Italy,ITA,2020,0.2800049,11.65,59500576.0,
Japan,JPN,2020,0.23872714,13.08,125244760.0,
Kazakhstan,KAZ,2020,1.0220704,11.91,18979250.0,
Kenya,KEN,2020,3.8572624,6.36,51985780.0,
Kuwait,KWT,2020,0.87976015,7.19,4360451.0,
Libya,LBY,2020,1.1122594,11.03,6653946.0,
Malawi,MWI,2020,4.3509593,5.36,19377058.0,
Maldives,MDV,2020,0.6422458,7.9,514451.0,
Mali,MLI,2020,10.005843,3.77,21224042.0,
Mexico,MEX,2020,1.370521,10.18,125998296.0,
Moldova,MDA,2020,1.4498289,10.96,3084848.0,
Morocco,MAR,2020,1.8744252,6.11,36688768.0,
Mozambique,MOZ,2020,7.163714,3.57,31178242.0,
Nepal,NPL,2020,2.8194368,5.86,29348626.0,
Niger,NER,2020,11.631723,2.59,24333644.0,
North America,,2020,0.62337565,11.932982,594263186.0,
Norway,NOR,2020,0.22590879,12.25,5379836.0,
Oceania,,2020,2.082356,10.729693,43933757.0,
Pakistan,PAK,2020,6.547601,5.71,227196736.0,
Portugal,PRT,2020,0.3277976,9.91,10298186.0,
Qatar,QAT,2020,0.5663023,9.92,2760390.0,
Senegal,SEN,2020,4.0138483,3.89,16436120.0,
Sierra Leone,SLE,2020,10.852246,4.42,8233973.0,
South Africa,ZAF,2020,3.3742332,10.63,58801928.0,
South America,,2020,,9.108767,431530105.0,
South Korea,KOR,2020,0.30086482,13.65,51844688.0,
Sudan,SDN,2020,5.6584706,4.2,44440484.0,
Tanzania,TZA,2020,4.8996468,6.75,61704520.0,
Uruguay,URY,2020,0.62845457,9.07,3429087.0,
Zambia,ZMB,2020,5.96699,8.26,18927716.0,
