Entity,Code,Year,Coal - % electricity,Gas - % electricity,Nuclear - % electricity,Hydro - % electricity,Solar - % electricity,Wind - % electricity
Bhutan,BTN,2000,0.0,0.0,0.0,100.0,0.0,0.0
Bhutan,BTN,2005,0.0,0.0,0.0,100.00001,0.0,0.0
Bhutan,BTN,2010,0.0,0.0,0.0,100.0,0.0,0.0
Bhutan,BTN,2015,0.0,0.0,0.0,100.0,0.0,0.0
Bulgaria,BGR,1990,50.071598,7.6133647,34.988064,3.8902147,0.0,0.0
Bulgaria,BGR,1995,41.608643,7.7070827,41.440575,5.210084,0.0,0.0
Bulgaria,BGR,2000,41.72414,4.7044334,44.778328,6.477833,0.0,0.0
Bulgaria,BGR,2005,42.021393,3.9380832,42.453903,9.7883005,0.0,0.0
Bulgaria,BGR,2010,49.173553,4.2844715,33.166595,10.93954,0.021748587,1.4789039
Bulgaria,BGR,2015,46.262833,3.8193018,31.581108,11.601643,2.8336756,2.9774127
Bulgaria,BGR,2022,42.30617,5.755538,32.555378,7.318038,3.3623416,2.8481011
Bulgaria,BGR,1985,,,31.540642,5.3732705,,
Gambia,GMB,2000,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,GMB,2005,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,GMB,2010,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,GMB,2015,0.0,0.0,0.0,0.0,0.0,0.0
Mozambique,MOZ,2000,0.0,0.0,0.0,99.47972,0.0,0.0
Mozambique,MOZ,2005,0.0,0.0,0.0,99.54511,0.0,0.0
Mozambique,MOZ,2010,0.0,0.0,0.0,99.57704,0.0,0.0
Mozambique,MOZ,2015,0.0,0.0,0.0,86.49061,0.0,0.0
