Entity,Code,Year,Deaths - Cause: Dengue - Sex: Both sexes - Age group: ALLAges
Cape Verde,CPV,2000,0.0
Cape Verde,CPV,2005,0.0
Cape Verde,CPV,2010,0.0
Cape Verde,CPV,2015,0.0
Cape Verde,CPV,2019,0.0
Central African Republic,CAF,2000,0.04
Central African Republic,CAF,2005,0.03
Central African Republic,CAF,2010,0.04
Central African Republic,CAF,2015,0.04
Central African Republic,CAF,2019,0.03
Democratic Republic of Congo,COD,2000,0.54
Democratic Republic of Congo,COD,2005,0.51
Democratic Republic of Congo,COD,2010,0.66
Democratic Republic of Congo,COD,2015,0.8
Democratic Republic of Congo,COD,2019,0.8
Montenegro,MNE,2000,0.0
Montenegro,MNE,2005,0.0
Montenegro,MNE,2010,0.0
Montenegro,MNE,2015,0.0
Montenegro,MNE,2019,0.0
Saint Lucia,LCA,2000,0.3
Saint Lucia,LCA,2005,0.41
Saint Lucia,LCA,2010,0.48
Saint Lucia,LCA,2015,0.55
Saint Lucia,LCA,2019,0.59
Switzerland,CHE,2000,0.0
Switzerland,CHE,2005,0.0
Switzerland,CHE,2010,0.0
Switzerland,CHE,2015,0.0
Switzerland,CHE,2019,0.0
