Entity,Code,Year,"Deaths that are from all causes attributed to household air pollution from solid fuels, in both sexes aged all ages",Continent,"Deaths that are from all causes attributed to household air pollution from solid fuels, in both sexes aged all ages.1",Year.1
Afghanistan,AFG,1990,34372.13,,28168.416,2019.0
Afghanistan,AFG,2019,28168.416,,28168.416,2019.0
Albania,ALB,1990,1977.7633,,724.27655,2019.0
Albania,ALB,2019,724.27655,,724.27655,2019.0
Algeria,DZA,1990,3086.363,,66.29051,2019.0
Algeria,DZA,2019,66.29051,,66.29051,2019.0
American Samoa,ASM,1990,10.796761,,5.801238,2019.0
American Samoa,ASM,2019,5.801238,,5.801238,2019.0
Andorra,AND,1990,0.06231848,,0.023421824,2019.0
Andorra,AND,2019,0.023421824,,0.023421824,2019.0
Angola,AGO,1990,19241.6,,8725.638,2019.0
Angola,AGO,2019,8725.638,,8725.638,2019.0
Antigua and Barbuda,ATG,1990,2.700447,,0.49792063,2019.0
Antigua and Barbuda,ATG,2019,0.49792063,,0.49792063,2019.0
Argentina,ARG,1990,3964.2234,,707.9059,2019.0
Argentina,ARG,2019,707.9059,,707.9059,2019.0
Armenia,ARM,1990,941.40625,,78.4522,2019.0
Armenia,ARM,2019,78.4522,,78.4522,2019.0
Australia,AUS,1990,142.83784,,13.358494,2019.0
Australia,AUS,2019,13.358494,,13.358494,2019.0
Austria,AUT,1990,51.511093,,8.803458,2019.0
Austria,AUT,2019,8.803458,,8.803458,2019.0
Bahrain,BHR,1990,25.966772,,1.6738101,2019.0
Bahrain,BHR,2019,1.6738101,,1.6738101,2019.0
Bangladesh,BGD,1990,168188.44,,94788.914,2019.0
Bangladesh,BGD,2019,94788.914,,94788.914,2019.0
Barbados,BRB,1990,0.86042124,,0.20651135,2019.0
Barbados,BRB,2019,0.20651135,,0.20651135,2019.0
Belize,BLZ,1990,54.84202,,29.527699,2019.0
Belize,BLZ,2019,29.527699,,29.527699,2019.0
Benin,BEN,1990,9169.725,,9890.568,2019.0
Benin,BEN,2019,9890.568,,9890.568,2019.0
Bermuda,BMU,1990,6.2093806,,0.71628225,2019.0
Bermuda,BMU,2019,0.71628225,,0.71628225,2019.0
Bhutan,BTN,1990,769.60297,,351.63034,2019.0
Bhutan,BTN,2019,351.63034,,351.63034,2019.0
Bolivia,BOL,1990,5067.816,,2276.2605,2019.0
Bolivia,BOL,2019,2276.2605,,2276.2605,2019.0
Burkina Faso,BFA,1990,18725.557,,24302.94,2019.0
Burkina Faso,BFA,2019,24302.94,,24302.94,2019.0
Cape Verde,CPV,1990,298.4829,,98.8639,2019.0
Cape Verde,CPV,2019,98.8639,,98.8639,2019.0
Chile,CHL,1990,2029.5818,,330.20312,2019.0
Chile,CHL,2019,330.20312,,330.20312,2019.0
China,CHN,1990,1329828.8,,363029.44,2019.0
China,CHN,2019,363029.44,,363029.44,2019.0
Egypt,EGY,1990,9545.766,,73.10134,2019.0
Egypt,EGY,2019,73.10134,,73.10134,2019.0
Grenada,GRD,1990,49.878586,,2.3795834,2019.0
Grenada,GRD,2019,2.3795834,,2.3795834,2019.0
Honduras,HND,1990,2734.7563,,3875.0532,2019.0
Honduras,HND,2019,3875.0532,,3875.0532,2019.0
Iceland,ISL,1990,0.6154615,,0.06949833,2019.0
Iceland,ISL,2019,0.06949833,,0.06949833,2019.0
Kiribati,KIR,1990,124.77385,,132.59389,2019.0
Kiribati,KIR,2019,132.59389,,132.59389,2019.0
Lebanon,LBN,1990,411.48953,,9.583118,2019.0
Lebanon,LBN,2019,9.583118,,9.583118,2019.0
Marshall Islands,MHL,1990,29.65705,,23.810936,2019.0
Marshall Islands,MHL,2019,23.810936,,23.810936,2019.0
Morocco,MAR,1990,11326.191,,1679.4263,2019.0
Morocco,MAR,2019,1679.4263,,1679.4263,2019.0
Myanmar,MMR,1990,85346.164,,49223.246,2019.0
Myanmar,MMR,2019,49223.246,,49223.246,2019.0
Niue,NIU,1990,1.2878124,,0.09665608,2019.0
Niue,NIU,2019,0.09665608,,0.09665608,2019.0
Northern Mariana Islands,MNP,1990,5.0493298,,5.13025,2019.0
Northern Mariana Islands,MNP,2019,5.13025,,5.13025,2019.0
Palau,PLW,1990,0.022927392,,0.011643799,2019.0
Palau,PLW,2019,0.011643799,,0.011643799,2019.0
Solomon Islands,SLB,1990,754.15344,,1211.044,2019.0
Solomon Islands,SLB,2019,1211.044,,1211.044,2019.0
Sudan,SDN,1990,34039.945,,11309.873,2019.0
Sudan,SDN,2019,11309.873,,11309.873,2019.0
Syria,SYR,1990,1187.152,,17.63891,2019.0
Syria,SYR,2019,17.63891,,17.63891,2019.0
Turkey,TUR,1990,9489.049,,235.60326,2019.0
Turkey,TUR,2019,235.60326,,235.60326,2019.0
Tuvalu,TUV,1990,11.475863,,1.6869915,2019.0
Tuvalu,TUV,2019,1.6869915,,1.6869915,2019.0
