Entity,Code,Year,int_auton_vdem_owid,int_auton_vdem_high_owid,int_auton_vdem_low_owid
Estonia,EST,1789,1.749,2.467,1.025
Estonia,EST,1850,1.749,2.467,1.025
Estonia,EST,1900,1.749,2.467,1.025
Estonia,EST,1950,0.957,1.416,0.303
Estonia,EST,2000,2.065,2.771,1.317
Estonia,EST,2022,2.065,2.771,1.317
India,IND,1789,-2.689,-1.835,-3.471
India,IND,1850,-2.689,-1.835,-3.471
India,IND,1900,-2.689,-1.835,-3.471
India,IND,1950,2.374,2.98,1.588
India,IND,2000,2.374,2.98,1.588
India,IND,2022,2.104,2.766,1.319
Lesotho,LSO,1900,-2.603,-1.783,-3.375
Lesotho,LSO,1950,-2.603,-1.783,-3.375
Lesotho,LSO,2000,0.405,0.678,0.092
Lesotho,LSO,2022,0.836,1.221,0.383
Nepal,NPL,1789,1.362,2.19,0.517
Nepal,NPL,1850,-0.026,0.301,-0.337
Nepal,NPL,1900,-0.026,0.301,-0.337
Nepal,NPL,1950,0.527,1.02,0.071
Nepal,NPL,2000,1.444,2.12,0.723
Nepal,NPL,2022,0.929,1.387,0.382
