Entity,Code,Year,Central death rate - Type: period - Sex: male - Age: 65,Central death rate - Type: period - Sex: female - Age: 65,Continent
Afghanistan,AFG,2021,4.357332,3.1338509,
Albania,ALB,2021,1.9547812,1.02422495,
Algeria,DZA,2021,1.686063,1.1115561,
American Samoa,ASM,2021,3.507006,1.630903,
Andorra,AND,2021,1.8291891,0.7128540000000001,
Anguilla,AIA,2021,2.29303,1.007457,
Argentina,ARG,2021,2.6609190000000003,1.421853,
Armenia,ARM,2021,4.820901,1.67887,
Aruba,ABW,2021,2.3854511,1.43082,
Australia,AUS,2021,0.823652,0.529245,
Austria,AUT,2021,1.456766,0.7338480000000001,
Azerbaijan,AZE,2021,4.5439487000000005,2.1752800000000003,
Bahrain,BHR,2021,1.391445,1.035069,
Bangladesh,BGD,2021,2.563142,1.7954361,
Belize,BLZ,2021,3.138205,1.9199871,
Benin,BEN,2021,3.8187073,3.0275291,
Bolivia,BOL,2021,6.30111,3.5247810000000004,
Botswana,BWA,2021,5.745947000000001,3.715722,
Bulgaria,BGR,2021,4.026487,1.87658,
Cameroon,CMR,2021,4.538799,3.605554,
Canada,CAN,2021,1.1252709,0.663837,
Cape Verde,CPV,2021,2.8792860000000005,1.19104595,
Chad,TCD,2021,4.926411000000001,4.0310947,
Croatia,HRV,2021,2.6104330000000004,0.996904,
East Timor,TLS,2021,3.508265,2.4711730000000003,
Egypt,EGY,2021,4.362984,2.741807,
Eswatini,SWZ,2021,6.8537224,4.146079,
Gabon,GAB,2021,4.125803,2.7598970000000005,
Georgia,GEO,2021,4.3470947,1.567347,
Greenland,GRL,2021,2.9500550000000003,1.5657081000000002,
Guyana,GUY,2021,4.9914562,3.1434849,
Honduras,HND,2021,3.7487103,2.2996399000000003,
Iraq,IRQ,2021,3.4469520000000005,2.1629110000000003,
Kenya,KEN,2021,5.0580917,3.4551870000000005,
Latvia,LVA,2021,3.611661,1.4328500000000002,
Lesotho,LSO,2021,6.9123856,5.084275000000001,
Liberia,LBR,2021,4.304677000000001,3.645602,
Lithuania,LTU,2021,3.948423,1.4943590000000002,
Mauritania,MRT,2021,4.08232,2.99897,
Mexico,MEX,2021,3.72324,2.055002,
Moldova,MDA,2021,5.8535580000000005,2.4833770000000004,
Montserrat,MSR,2021,2.073267,1.327492,
Nauru,NRU,2021,5.273653800000001,2.7065460000000003,
Nigeria,NGA,2021,4.469867,4.050008,
Solomon Islands,SLB,2021,3.191249,2.264312,
Somalia,SOM,2021,4.933643,3.689283,
South Africa,ZAF,2021,5.300428,3.5119167,
Togo,TGO,2021,3.5220979999999997,2.9489080000000003,
Tuvalu,TUV,2021,4.89076,2.342036,
Uganda,UGA,2021,4.609202,3.091819,
