Entity,Code,Year,Children orphaned due to AIDS deaths - Disaggregation: 0-17 estimate
Botswana,BWA,1990,2205
Botswana,BWA,1995,21825
Botswana,BWA,2000,80097
Botswana,BWA,2005,137085
Botswana,BWA,2010,131454
Botswana,BWA,2015,91313
Botswana,BWA,2020,62616
Botswana,BWA,2022,54247
Democratic Republic of Congo,COD,1990,62399
Democratic Republic of Congo,COD,1995,199352
Democratic Republic of Congo,COD,2000,387685
Democratic Republic of Congo,COD,2005,531839
Democratic Republic of Congo,COD,2010,590969
Democratic Republic of Congo,COD,2015,592747
Democratic Republic of Congo,COD,2020,537101
Democratic Republic of Congo,COD,2022,468020
Mozambique,MOZ,1990,12108
Mozambique,MOZ,1995,60877
Mozambique,MOZ,2000,209902
Mozambique,MOZ,2005,488014
Mozambique,MOZ,2010,824521
Mozambique,MOZ,2015,1186075
Mozambique,MOZ,2020,1297065
Mozambique,MOZ,2022,1295197
Namibia,NAM,1990,1618
Namibia,NAM,1995,10778
Namibia,NAM,2000,40538
Namibia,NAM,2005,79972
Namibia,NAM,2010,80904
Namibia,NAM,2015,64155
Namibia,NAM,2020,57934
Namibia,NAM,2022,52460
South Africa,ZAF,1990,14743
South Africa,ZAF,1995,158453
South Africa,ZAF,2000,691212
South Africa,ZAF,2005,1460215
South Africa,ZAF,2010,1659965
South Africa,ZAF,2015,1286921
South Africa,ZAF,2020,869802
South Africa,ZAF,2022,717017
Tanzania,TZA,1990,116236
Tanzania,TZA,1995,410505
Tanzania,TZA,2000,789788
Tanzania,TZA,2005,1094096
Tanzania,TZA,2010,1187593
Tanzania,TZA,2015,1189190
Tanzania,TZA,2020,1027361
Tanzania,TZA,2022,885067
World,OWID_WRL,1990,1143324
World,OWID_WRL,1995,4479464
World,OWID_WRL,2000,10246982
World,OWID_WRL,2005,15856554
World,OWID_WRL,2010,18013040
World,OWID_WRL,2015,17391816
World,OWID_WRL,2020,15249029
World,OWID_WRL,2022,13883949
Zambia,ZMB,1990,53682
Zambia,ZMB,1995,214439
Zambia,ZMB,2000,457491
Zambia,ZMB,2005,700193
Zambia,ZMB,2010,797966
Zambia,ZMB,2015,763885
Zambia,ZMB,2020,669121
Zambia,ZMB,2022,582754
