Entity,Code,Year,"Tariff rate, applied, weighted mean, all products (%)"
Australia,AUS,2000,5.83
Australia,AUS,2005,3.07
Australia,AUS,2010,2.8
Australia,AUS,2015,1.9
Australia,AUS,2020,0.71
Bangladesh,BGD,1989,88.43
Bangladesh,BGD,2000,18.1
Bangladesh,BGD,2005,22.7
Bangladesh,BGD,2010,9.94
Bangladesh,BGD,2015,11.82
Bangladesh,BGD,2020,10.99
Dominica,DMA,2000,13.82
Dominica,DMA,2010,11.11
Dominica,DMA,2015,13.72
Dominica,DMA,2020,7.84
Ecuador,ECU,1995,11.05
Ecuador,ECU,2000,9.58
Ecuador,ECU,2005,8.69
Ecuador,ECU,2010,6.11
Ecuador,ECU,2015,6.38
Ecuador,ECU,2020,6.21
Malawi,MWI,2000,12.39
Malawi,MWI,2010,6.41
Malawi,MWI,2015,4.24
Malawi,MWI,2020,6.18
