Entity,Code,Year,Share of global nitrous oxide emissions
China,CHN,1850,4.0819364
China,CHN,1860,4.043696
China,CHN,1880,3.765535
China,CHN,1900,4.004926
China,CHN,1920,4.4379983
China,CHN,1940,5.705481
China,CHN,1960,6.335511
China,CHN,1980,9.961706
China,CHN,2000,15.252046
China,CHN,2021,15.497177
European Union (28),,1850,14.441373
European Union (28),,1860,14.360903
European Union (28),,1880,13.77556
European Union (28),,1900,15.960094
European Union (28),,1920,13.454302
European Union (28),,1940,16.033508
European Union (28),,1960,20.926018
European Union (28),,1980,19.969952
European Union (28),,2000,12.679557
European Union (28),,2021,8.751231
India,IND,1850,14.234929
India,IND,1860,14.341767
India,IND,1880,15.118921
India,IND,1900,13.975116
India,IND,1920,11.136537
India,IND,1940,9.801466
India,IND,1960,4.9180818
India,IND,1980,4.927244
India,IND,2000,7.602962
India,IND,2021,9.1945
United States,USA,1850,21.601599
United States,USA,1860,21.520927
United States,USA,1880,20.934145
United States,USA,1900,21.017328
United States,USA,1920,19.97022
United States,USA,1940,17.421476
United States,USA,1960,15.376213
United States,USA,1980,14.346238
United States,USA,2000,11.926978
United States,USA,2021,8.7592125
