Entity,Code,Year,"Current number of cases of multidrug-resistant tuberculosis without extensive drug resistance, in both sexes aged all ages"
African Region (WHO),,1990,5153.438
African Region (WHO),,1995,33130.094
African Region (WHO),,2000,65140.63
African Region (WHO),,2005,83292.47
African Region (WHO),,2010,85756.68
African Region (WHO),,2015,95849.67
African Region (WHO),,2019,107498.59
Eastern Mediterranean Region (WHO),,1990,741.50684
Eastern Mediterranean Region (WHO),,1995,10758.512
Eastern Mediterranean Region (WHO),,2000,34195.816
Eastern Mediterranean Region (WHO),,2005,47688.18
Eastern Mediterranean Region (WHO),,2010,46594.387
Eastern Mediterranean Region (WHO),,2015,57454.285
Eastern Mediterranean Region (WHO),,2019,61679.195
European Region (WHO),,1990,3604.7502
European Region (WHO),,1995,31683.719
European Region (WHO),,2000,63737.49
European Region (WHO),,2005,94015.484
European Region (WHO),,2010,91756.6
European Region (WHO),,2015,70498.73
European Region (WHO),,2019,60253.613
Region of the Americas (WHO),,1990,1811.4287
Region of the Americas (WHO),,1995,5678.8184
Region of the Americas (WHO),,2000,10680.781
Region of the Americas (WHO),,2005,10490.521
Region of the Americas (WHO),,2010,8420.315
Region of the Americas (WHO),,2015,7750.8784
Region of the Americas (WHO),,2019,8451.494
South-East Asia Region (WHO),,1990,7790.2407
South-East Asia Region (WHO),,1995,86561.62
South-East Asia Region (WHO),,2000,213470.64
South-East Asia Region (WHO),,2005,267872.38
South-East Asia Region (WHO),,2010,293832.47
South-East Asia Region (WHO),,2015,328476.44
South-East Asia Region (WHO),,2019,373321.78
Western Pacific Region (WHO),,1990,55195.85
Western Pacific Region (WHO),,1995,190043.19
Western Pacific Region (WHO),,2000,183111.75
Western Pacific Region (WHO),,2005,157014.83
Western Pacific Region (WHO),,2010,100951.836
Western Pacific Region (WHO),,2015,69202.28
Western Pacific Region (WHO),,2019,76426.55
