Entity,Code,Year,Outbound Tourism Expenditure (adjusted for US 2021 inflation)
Bulgaria,BGR,1995,346751170
Bulgaria,BGR,2000,846583800
Bulgaria,BGR,2005,1816254600
Bulgaria,BGR,2010,1026440600
Bulgaria,BGR,2015,1275867300
Bulgaria,BGR,2021,1287000000
Canada,CAN,1995,18244446000
Canada,CAN,2000,19572136000
Canada,CAN,2005,25012700000
Canada,CAN,2010,37251342000
Canada,CAN,2015,38825923000
Canada,CAN,2021,7666000400
Japan,JPN,1995,65374155000
Japan,JPN,2000,50171888000
Japan,JPN,2005,52121936000
Japan,JPN,2010,34732462000
Japan,JPN,2015,18262278000
Japan,JPN,2021,2830000000
Malta,MLT,1995,380537200
Malta,MLT,2000,314715140
Malta,MLT,2005,371853540
Malta,MLT,2010,383983230
Malta,MLT,2015,420716060
Malta,MLT,2021,240000000
Poland,POL,1995,9780162000
Poland,POL,2000,5216403500
Poland,POL,2005,7686823000
Poland,POL,2010,10386187000
Poland,POL,2015,8804170000
Poland,POL,2021,5735000000
Sweden,SWE,1995,9687694000
Sweden,SWE,2000,12664138000
Sweden,SWE,2005,13894558000
Sweden,SWE,2010,15068546000
Sweden,SWE,2015,15002873000
Sweden,SWE,2021,8357000000
United Kingdom,GBR,1995,44323690000
United Kingdom,GBR,2000,66297897000
United Kingdom,GBR,2005,91922740000
United Kingdom,GBR,2010,81620670000
United Kingdom,GBR,2015,88613320000
United Kingdom,GBR,2021,27331000000
