Entity,Code,Year,Land use: Agriculture
Africa,,1600,239737020.0
Africa,,1700,266488160.0
Africa,,1750,283415420.0
Africa,,1800,300670340.0
Africa,,1850,345029730.0
Africa,,1900,454967800.0
Africa,,1950,807850800.0
Africa,,2000,1115643000.0
Africa,,2023,1143559800.0
Asia (excl. China and India),,1600,240808620.0
Asia (excl. China and India),,1700,249423840.0
Asia (excl. China and India),,1750,282532930.0
Asia (excl. China and India),,1800,333750750.0
Asia (excl. China and India),,1850,434280000.0
Asia (excl. China and India),,1900,550769300.0
Asia (excl. China and India),,1950,695552300.0
Asia (excl. China and India),,2000,938003600.0
Asia (excl. China and India),,2023,943830140.0
Brazil,BRA,1600,116305.586
Brazil,BRA,1700,133252.73
Brazil,BRA,1750,1806275.5
Brazil,BRA,1800,3920113.0
Brazil,BRA,1850,10429938.0
Brazil,BRA,1900,22874048.0
Brazil,BRA,1950,67600900.0
Brazil,BRA,2000,226513800.0
Brazil,BRA,2023,263977630.0
China,CHN,1600,125106590.0
China,CHN,1700,128659384.0
China,CHN,1750,191131140.0
China,CHN,1800,276250460.0
China,CHN,1850,377025120.0
China,CHN,1900,309228000.0
China,CHN,1950,311769730.0
China,CHN,2000,522001100.0
China,CHN,2023,554112900.0
Europe (excl. Russia),,1600,163549440.0
Europe (excl. Russia),,1700,177765630.0
Europe (excl. Russia),,1750,180941920.0
Europe (excl. Russia),,1800,195103200.0
Europe (excl. Russia),,1850,231805390.0
Europe (excl. Russia),,1900,282472030.0
Europe (excl. Russia),,1950,311311460.0
Europe (excl. Russia),,2000,267889730.0
Europe (excl. Russia),,2023,244118050.0
India,IND,1600,33249338.0
India,IND,1700,40263824.0
India,IND,1750,56949972.0
India,IND,1800,80797090.0
India,IND,1850,115144010.0
India,IND,1900,124408080.0
India,IND,1950,156005810.0
India,IND,2000,180378500.0
India,IND,2023,179036140.0
North America,,1600,10650858.0
North America,,1700,23080450.0
North America,,1750,36220350.0
North America,,1800,59549228.0
North America,,1850,113033660.0
North America,,1900,354049470.0
North America,,1950,587804200.0
North America,,2000,611537300.0
North America,,2023,603883970.0
Oceania,,1600,777535.5
Oceania,,1700,742450.75
Oceania,,1750,722546.9
Oceania,,1800,1114881.8
Oceania,,1850,12580862.0
Oceania,,1900,103637720.0
Oceania,,1950,338510500.0
Oceania,,2000,422589000.0
Oceania,,2023,345677760.0
Russia,RUS,1600,18336792.0
Russia,RUS,1700,20781702.0
Russia,RUS,1750,41162070.0
Russia,RUS,1800,59284776.0
Russia,RUS,1850,88161650.0
Russia,RUS,1900,164921980.0
Russia,RUS,1950,178946460.0
Russia,RUS,2000,213837200.0
Russia,RUS,2023,216249000.0
South America (excl. Brazil),,1600,20716790.0
South America (excl. Brazil),,1700,20614928.0
South America (excl. Brazil),,1750,24360138.0
South America (excl. Brazil),,1800,27699346.0
South America (excl. Brazil),,1850,48712210.0
South America (excl. Brazil),,1900,104934140.0
South America (excl. Brazil),,1950,242083170.0
South America (excl. Brazil),,2000,311554100.0
South America (excl. Brazil),,2023,331156740.0
