Entity,Code,Year,"DALYs (Disability-Adjusted Life Years) - Communicable, maternal, neonatal, and nutritional diseases - Sex: Both - Age: Age-standardized (Rate)"
Bangladesh,BGD,1990,36134.38
Bangladesh,BGD,1995,27768.44
Bangladesh,BGD,2000,21310.94
Bangladesh,BGD,2005,17051.21
Bangladesh,BGD,2010,13118.28
Bangladesh,BGD,2015,10122.36
Bangladesh,BGD,2019,8347.08
China,CHN,1990,9489.68
China,CHN,1995,7998.54
China,CHN,2000,5995.33
China,CHN,2005,4023.35
China,CHN,2010,2879.78
China,CHN,2015,2229.19
China,CHN,2019,1889.16
India,IND,1990,33895.9
India,IND,1995,29081.08
India,IND,2000,25728.7
India,IND,2005,21683.08
India,IND,2010,17907.34
India,IND,2015,14332.53
India,IND,2019,11801.44
Kenya,KEN,1990,34321.93
Kenya,KEN,1995,48345.59
Kenya,KEN,2000,54031.62
Kenya,KEN,2005,46850.49
Kenya,KEN,2010,32880.9
Kenya,KEN,2015,25610.5
Kenya,KEN,2019,21312.06
Latvia,LVA,1990,2968.8
Latvia,LVA,1995,3662.15
Latvia,LVA,2000,2803.8
Latvia,LVA,2005,2501.5
Latvia,LVA,2010,2180.37
Latvia,LVA,2015,1910.34
Latvia,LVA,2019,1742.81
Syria,SYR,1990,9161.19
Syria,SYR,1995,6725.27
Syria,SYR,2000,4143.91
Syria,SYR,2005,2951.16
Syria,SYR,2010,3256.83
Syria,SYR,2015,3631.82
Syria,SYR,2019,2965.84
