Entity,Code,Year,malaria_deaths
Africa,,2000,840000
Africa,,2005,723000
Africa,,2010,646000
Africa,,2015,527000
Africa,,2020,602000
Americas,,2000,909
Americas,,2005,687
Americas,,2010,502
Americas,,2015,414
Americas,,2020,409
Eastern Mediterranean,,2000,13700
Eastern Mediterranean,,2005,11500
Eastern Mediterranean,,2010,8800
Eastern Mediterranean,,2015,8300
Eastern Mediterranean,,2020,12300
South-East Asia,,2000,35000
South-East Asia,,2005,38000
South-East Asia,,2010,39000
South-East Asia,,2015,24000
South-East Asia,,2020,9000
Western Pacific,,2000,6100
Western Pacific,,2005,4500
Western Pacific,,2010,3500
Western Pacific,,2015,2400
Western Pacific,,2020,3200
