Entity,Code,Year,"DALYs from all causes attributed to lead exposure per 100,000 people in, both sexes aged age-standardized"
Algeria,DZA,1990,555.66547
Algeria,DZA,1995,517.06366
Algeria,DZA,2000,463.0435
Algeria,DZA,2005,402.94775
Algeria,DZA,2010,350.00674
Algeria,DZA,2015,310.58575
Algeria,DZA,2019,283.67856
Bhutan,BTN,1990,372.14542
Bhutan,BTN,1995,369.3455
Bhutan,BTN,2000,349.5673
Bhutan,BTN,2005,321.29343
Bhutan,BTN,2010,293.5216
Bhutan,BTN,2015,261.6555
Bhutan,BTN,2019,237.19635
Namibia,NAM,1990,304.24417
Namibia,NAM,1995,321.19568
Namibia,NAM,2000,355.20038
Namibia,NAM,2005,333.16064
Namibia,NAM,2010,272.771
Namibia,NAM,2015,242.31247
Namibia,NAM,2019,224.97653
