Entity,Code,Year,Trade in services (% of GDP)
Cameroon,CMR,1980,16.747274
Cameroon,CMR,1990,11.590313
Cameroon,CMR,2000,16.316122
Cameroon,CMR,2010,11.062527
Cameroon,CMR,2021,8.691039
China,CHN,1990,2.8285372
China,CHN,2000,9.4916115
China,CHN,2010,6.1069555
China,CHN,2021,4.38026
Guatemala,GTM,1980,8.866945
Guatemala,GTM,1990,9.67043
Guatemala,GTM,2000,10.228201
Guatemala,GTM,2010,11.981142
Guatemala,GTM,2021,8.131951
Japan,JPN,2000,3.7783356
Japan,JPN,2010,5.199336
Japan,JPN,2021,7.6595545
Mexico,MEX,1980,5.790218
Mexico,MEX,1990,8.409071
Mexico,MEX,2000,4.313679
Mexico,MEX,2010,4.0081525
Mexico,MEX,2021,5.1768093
North Macedonia,MKD,2000,19.03136
North Macedonia,MKD,2010,19.17311
North Macedonia,MKD,2021,25.499315
Palau,PLW,2010,68.285706
Palau,PLW,2021,26.79798
Sri Lanka,LKA,1975,5.0364637
Sri Lanka,LKA,1980,14.474117
Sri Lanka,LKA,1990,13.430261
Sri Lanka,LKA,2000,15.676856
Sri Lanka,LKA,2010,9.5279875
Sudan,SDN,1980,7.209723
Sudan,SDN,1990,1.1905037
Sudan,SDN,2000,5.5068693
Sudan,SDN,2010,3.7419558
Sudan,SDN,2021,8.608798
