Entity,Code,Year,Total bleaching events
El Nino,,1980,0
El Nino,,1982,1
El Nino,,1984,0
El Nino,,1986,0
El Nino,,1988,11
El Nino,,1990,0
El Nino,,1992,7
El Nino,,1994,0
El Nino,,1996,0
El Nino,,1998,73
El Nino,,2000,0
El Nino,,2002,0
El Nino,,2004,0
El Nino,,2006,0
El Nino,,2008,0
El Nino,,2010,0
El Nino,,2012,0
El Nino,,2014,0
El Nino,,2016,54
La Nina,,1980,0
La Nina,,1982,0
La Nina,,1984,0
La Nina,,1986,0
La Nina,,1988,0
La Nina,,1990,0
La Nina,,1992,0
La Nina,,1994,0
La Nina,,1996,0
La Nina,,1998,0
La Nina,,2000,13
La Nina,,2002,0
La Nina,,2004,0
La Nina,,2006,0
La Nina,,2008,10
La Nina,,2010,53
La Nina,,2012,0
La Nina,,2014,0
La Nina,,2016,0
Moderate,,1980,5
Moderate,,1982,0
Moderate,,1984,2
Moderate,,1986,4
Moderate,,1988,0
Moderate,,1990,11
Moderate,,1992,0
Moderate,,1994,8
Moderate,,1996,9
Moderate,,1998,0
Moderate,,2000,0
Moderate,,2002,21
Moderate,,2004,19
Moderate,,2006,18
Moderate,,2008,0
Moderate,,2010,0
Moderate,,2012,7
Moderate,,2014,14
Moderate,,2016,0
