Entity,Code,Year,Share of the target elderly population vaccinated against influenza
Brazil,BRA,2018,97.0
Brazil,BRA,2019,99.0
Brazil,BRA,2020,95.69
Cuba,CUB,2018,97.0
Cuba,CUB,2019,86.0
Cuba,CUB,2020,99.5
Cuba,CUB,2021,100.0
France,FRA,2018,50.0
France,FRA,2020,58.7
France,FRA,2021,56.8
Philippines,PHL,2018,2.0
Philippines,PHL,2019,3.0
Philippines,PHL,2020,24.04
Philippines,PHL,2021,26.62
Russia,RUS,2018,69.0
Russia,RUS,2019,69.0
Russia,RUS,2020,68.82
Russia,RUS,2021,73.14
South Korea,KOR,2018,83.0
South Korea,KOR,2019,83.0
South Korea,KOR,2020,83.53
South Korea,KOR,2021,73.0
Ukraine,UKR,2018,0.0
Ukraine,UKR,2019,7.0
Ukraine,UKR,2020,0.14
Ukraine,UKR,2021,0.18
United Kingdom,GBR,2018,73.0
United Kingdom,GBR,2019,72.0
United Kingdom,GBR,2020,72.42
United Kingdom,GBR,2021,80.87
United States,USA,2020,69.8
Venezuela,VEN,2018,0.0
Venezuela,VEN,2019,0.0
Venezuela,VEN,2020,11.0
Venezuela,VEN,2021,29.7
