Entity,Code,Year,net_energy_traded_goods_pct_domestic
China,CHN,1995,-9.005373865
China,CHN,2000,-9.229644566
China,CHN,2005,-16.28364497
China,CHN,2010,-11.25775182
China,CHN,2015,-8.125415161
China,CHN,2020,-5.201844947
India,IND,1995,-4.895900869
India,IND,2000,-4.901671231
India,IND,2005,-2.947767684
India,IND,2010,-1.959617924
India,IND,2015,-1.848750915
India,IND,2020,-1.223824868
South Africa,ZAF,1995,-7.663842481
South Africa,ZAF,2000,-28.66903402
South Africa,ZAF,2005,-20.66351598
South Africa,ZAF,2010,-21.1872008
South Africa,ZAF,2015,-23.35909487
South Africa,ZAF,2020,-30.74863109
Spain,ESP,1995,8.564133952
Spain,ESP,2000,12.63107583
Spain,ESP,2005,18.56589315
Spain,ESP,2010,11.98743414
Spain,ESP,2015,4.942782891
Spain,ESP,2020,3.067423597
United Kingdom,GBR,1995,16.21668984
United Kingdom,GBR,2000,24.45254151
United Kingdom,GBR,2005,30.8635647
United Kingdom,GBR,2010,25.66099266
United Kingdom,GBR,2015,28.28488853
United Kingdom,GBR,2020,25.99971179
United States,USA,1995,4.079081537
United States,USA,2000,10.01880469
United States,USA,2005,14.88637461
United States,USA,2010,9.537901595
United States,USA,2015,12.72691709
United States,USA,2020,12.25953888
