Entity,Code,Year,Share of plastic waste exports via all modes of transport
Botswana,BWA,2005,0.002510172
Botswana,BWA,2010,0.0033891578
Botswana,BWA,2015,0.0
Botswana,BWA,2020,0.008370468
Botswana,BWA,2022,0.009083057
Brazil,BRA,1989,2.3181815
Brazil,BRA,1995,0.04639986
Brazil,BRA,2005,0.0
Brazil,BRA,2010,0.0
Brazil,BRA,2015,0.0
Brazil,BRA,2020,0.050354067
Brazil,BRA,2022,0.0831071
Central African Republic,CAF,2015,0.00043510922
Niger,NER,2005,0.00095724466
Niger,NER,2010,0.00031274935
Niger,NER,2015,0.00017838314
Niger,NER,2022,0.0019000521
Peru,PER,2005,0.0031487395
Peru,PER,2010,0.004546751
Peru,PER,2015,0.007953187
Peru,PER,2020,0.00535062
Tanzania,TZA,2005,0.012515676
Tanzania,TZA,2010,0.02951548
Tanzania,TZA,2015,0.13859068
Tanzania,TZA,2020,0.3098531
Tanzania,TZA,2022,0.46809
