Entity,Code,Year,Annual CO₂ emissions from land-use change
Brazil,BRA,1850,41219050.0
Brazil,BRA,1860,42135930.0
Brazil,BRA,1880,91209090.0
Brazil,BRA,1900,167412110.0
Brazil,BRA,1920,407554600.0
Brazil,BRA,1940,319037660.0
Brazil,BRA,1960,1067340600.0
Brazil,BRA,1980,1465660500.0
Brazil,BRA,2000,1959198300.0
Brazil,BRA,2022,1112991500.0
China,CHN,1850,237244110.0
China,CHN,1860,158516800.0
China,CHN,1880,-8423683.0
China,CHN,1900,117208730.0
China,CHN,1920,305269860.0
China,CHN,1940,174659890.0
China,CHN,1960,529617800.0
China,CHN,1980,653866600.0
China,CHN,2000,671712200.0
China,CHN,2022,981503740.0
European Union (27),,1850,349301600.0
European Union (27),,1860,305376420.0
European Union (27),,1880,303024600.0
European Union (27),,1900,308108770.0
European Union (27),,1920,231773800.0
European Union (27),,1940,164207180.0
European Union (27),,1960,-42038730.0
European Union (27),,1980,-168208750.0
European Union (27),,2000,-196968180.0
European Union (27),,2022,-121669900.0
India,IND,1850,301238050.0
India,IND,1860,121618590.0
India,IND,1880,112891500.0
India,IND,1900,109591260.0
India,IND,1920,264707470.0
India,IND,1940,508531970.0
India,IND,1960,480581060.0
India,IND,1980,192613980.0
India,IND,2000,191168880.0
India,IND,2022,34407930.0
United Kingdom,GBR,1850,8536607.0
United Kingdom,GBR,1860,1392942.9
United Kingdom,GBR,1880,37501920.0
United Kingdom,GBR,1900,37160436.0
United Kingdom,GBR,1920,17535722.0
United Kingdom,GBR,1940,15534884.0
United Kingdom,GBR,1960,21782554.0
United Kingdom,GBR,1980,2568610.8
United Kingdom,GBR,2000,641603.0
United Kingdom,GBR,2022,15930595.0
United States,USA,1850,806636900.0
United States,USA,1860,967678400.0
United States,USA,1880,1547140100.0
United States,USA,1900,1528034700.0
United States,USA,1920,1215809300.0
United States,USA,1940,606106800.0
United States,USA,1960,190493230.0
United States,USA,1980,265712180.0
United States,USA,2000,137625580.0
United States,USA,2022,141749500.0
