Entity,Code,Year,fishing_pressure_mean_region
Atlantic Ocean tunas,,1970,0.434044023231322
Atlantic Ocean tunas,,1980,0.633519948975975
Atlantic Ocean tunas,,1990,1.1181577725778202
Atlantic Ocean tunas,,2000,1.585
Atlantic Ocean tunas,,2010,0.909
Australia,AUS,1970,0.274500361670958
Australia,AUS,1980,0.318336510164676
Australia,AUS,1990,0.412142727431671
Australia,AUS,2000,0.786998594573783
Australia,AUS,2010,0.611827720060219
Japan,JPN,1970,1.5
Japan,JPN,1980,1.0073406740073398
Japan,JPN,1990,1.184389763209
Japan,JPN,2000,1.42503994515489
Japan,JPN,2010,1.2037037037037
Japan,JPN,2018,1.15168539325843
Pacific Ocean tunas,,1970,0.5855
Pacific Ocean tunas,,1980,0.3970795429865179
Pacific Ocean tunas,,1990,0.5
Pacific Ocean tunas,,2000,0.61
Pacific Ocean tunas,,2010,0.7228238452009229
South America,,1970,1.6414523706894402
South America,,1980,0.61
South America,,1990,1.1091335402324598
South America,,2000,1.61028673835126
South America,,2010,1.2598566308243702
South America,,2018,0.72985
US Alaska,,1970,0.37067634600527
US Alaska,,1980,0.4879310344827589
US Alaska,,1990,0.3686279648800949
US Alaska,,2000,0.3024390243902439
US Alaska,,2010,0.298698726376649
