Entity,Code,Year,"Number of new cases of hiv/aids per 100 people, in both sexes aged all ages"
Afghanistan,AFG,1990,0.0076772685999999
Afghanistan,AFG,1995,0.0082071922999999
Afghanistan,AFG,2000,0.0091292866
Afghanistan,AFG,2005,0.0100398049999999
Afghanistan,AFG,2010,0.010532027
Afghanistan,AFG,2015,0.019939651
Afghanistan,AFG,2019,0.02219742
Belize,BLZ,1990,0.31008445
Belize,BLZ,1995,0.40836494
Belize,BLZ,2000,0.6682438
Belize,BLZ,2005,0.4081239
Belize,BLZ,2010,0.40967148
Belize,BLZ,2015,0.5027393
Belize,BLZ,2019,0.5129846
Greenland,GRL,1990,0.16671048
Greenland,GRL,1995,0.12238179
Greenland,GRL,2000,0.13253484
Greenland,GRL,2005,0.12253249
Greenland,GRL,2010,0.12760159
Greenland,GRL,2015,0.15260953
Greenland,GRL,2019,0.21235846
Luxembourg,LUX,1990,0.066447677
Luxembourg,LUX,1995,0.05072343
Luxembourg,LUX,2000,0.0218915079999999
Luxembourg,LUX,2005,0.017537727
Luxembourg,LUX,2010,0.02041643
Luxembourg,LUX,2015,0.031056586
Luxembourg,LUX,2019,0.038118353
