Entity,Code,Year,Harmonized national poverty line,Mean income or consumption,Population (historical estimates),Continent
Africa,,2017,,,1263333997.0,
Albania,ALB,2017,,12.411219,2879361.0,
Asia,,2017,,,4547095064.0,
Bangladesh,BGD,2017,,,161793968.0,
Belarus,BLR,2017,7.670311226433352,16.718977,9707874.0,
Bolivia,BOL,2017,10.460691085858397,19.080784,11435535.0,
Brazil,BRA,2017,,20.329958,208504960.0,
Bulgaria,BGR,2017,10.871627663377614,22.896029,7182430.0,
Burundi,BDI,2017,,,11155592.0,
Chile,CHL,2017,7.148966486793039,25.014723,18368582.0,
China,CHN,2017,,12.597817,1410275968.0,
Croatia,HRV,2017,13.789621339119687,25.510685,4192468.0,
Czechia,CZE,2017,19.173440536225076,35.919323,10531315.0,
Djibouti,DJI,2017,2.3344553370774963,5.4438024,1040242.0,
Egypt,EGY,2017,4.157091779398289,6.300635,101789384.0,
Estonia,EST,2017,21.42080041881673,36.74732,1317550.0,
Ethiopia,ETH,2017,,,108197944.0,
Europe,,2017,,,745657647.0,
Gambia,GMB,2017,,,2381189.0,
Georgia,GEO,2017,3.7956053892289208,8.1343155,3771904.0,
Germany,DEU,2017,,62.168064,82624368.0,
Ghana,GHA,2017,,,30222266.0,
Greece,GRC,2017,12.194365481858991,25.891918,10692230.0,
Guatemala,GTM,2017,,,16578718.0,
Guinea,GIN,2017,,,12240791.0,
Indonesia,IDN,2017,2.4127466097949557,6.969378,264498848.0,
Iraq,IRQ,2017,,,39621156.0,
Italy,ITA,2017,22.854223691814543,47.845818,60004024.0,
Madagascar,MDG,2017,,,26169540.0,
Malawi,MWI,2017,,,17881172.0,
Malaysia,MYS,2017,,,31975812.0,
Mexico,MEX,2017,,,122839256.0,
Morocco,MAR,2017,,,35528116.0,
Namibia,NAM,2017,,,2364540.0,
Niger,NER,2017,,,21737924.0,
Nigeria,NGA,2017,,,193495904.0,
North America,,2017,,,581258143.0,
Oceania,,2017,,,41817267.0,
Pakistan,PAK,2017,,,216379648.0,
Panama,PAN,2017,,30.720894,4096071.0,
Philippines,PHL,2017,,,106738496.0,
Portugal,PRT,2017,15.408188144580691,31.258413,10307528.0,
Russia,RUS,2017,9.036234499563443,22.569801,145452544.0,
Serbia,SRB,2017,7.278568059726796,13.836538,7464882.0,
South America,,2017,,,420982650.0,
South Sudan,SSD,2017,,,10658230.0,
Tanzania,TZA,2017,1.62313040612702,,56267040.0,
Thailand,THA,2017,5.724104054273467,16.25334,70898208.0,
Ukraine,UKR,2017,4.806232211896622,12.998967,44657260.0,
United Kingdom,GBR,2017,25.76764395550315,53.333534,66064808.0,
United States,USA,2017,34.78694957432708,76.575714,329791232.0,
Vietnam,VNM,2017,,,94033048.0,
