Entity,Code,Year,Annual number of objects launched into outer space
China,CHN,1970,1
China,CHN,1990,6
China,CHN,2000,6
China,CHN,2010,20
China,CHN,2023,128
European Space Agency,,1990,2
European Space Agency,,2000,4
European Space Agency,,2010,1
European Space Agency,,2023,2
France,FRA,1970,2
France,FRA,1990,2
France,FRA,2010,9
France,FRA,2023,10
Germany,DEU,1970,1
Germany,DEU,1990,2
Germany,DEU,2000,3
Germany,DEU,2010,2
Germany,DEU,2023,2
India,IND,1980,1
India,IND,1990,2
India,IND,2000,1
India,IND,2010,2
India,IND,2023,6
Japan,JPN,1970,1
Japan,JPN,1980,2
Japan,JPN,1990,7
Japan,JPN,2000,3
Japan,JPN,2010,9
Japan,JPN,2023,11
Russia,RUS,1957,2
Russia,RUS,1970,88
Russia,RUS,1980,110
Russia,RUS,1990,96
Russia,RUS,2000,23
Russia,RUS,2010,24
Russia,RUS,2023,62
United Kingdom,GBR,1970,1
United Kingdom,GBR,1990,5
United Kingdom,GBR,2000,4
United Kingdom,GBR,2010,3
United Kingdom,GBR,2023,144
United States,USA,1970,31
United States,USA,1980,16
United States,USA,1990,40
United States,USA,2000,56
United States,USA,2010,35
United States,USA,2023,2166
World,OWID_WRL,1957,2
World,OWID_WRL,1970,130
World,OWID_WRL,1980,130
World,OWID_WRL,1990,168
World,OWID_WRL,2000,121
World,OWID_WRL,2010,120
World,OWID_WRL,2023,2664
