Entity,Code,Year,Annual carbon dioxide emissions
Brazil,BRA,2003,957167700.0
Brazil,BRA,2005,1087067900.0
Brazil,BRA,2007,1180577000.0
Brazil,BRA,2009,352352830.0
Brazil,BRA,2011,398717300.0
Brazil,BRA,2013,307698980.0
Brazil,BRA,2015,621976060.0
Brazil,BRA,2017,581342700.0
Brazil,BRA,2019,554918340.0
Brazil,BRA,2021,558781400.0
Brazil,BRA,2024,10115201.0
Canada,CAN,2003,197219410.0
Canada,CAN,2005,134575980.0
Canada,CAN,2007,175012910.0
Canada,CAN,2009,85561110.0
Canada,CAN,2011,179480820.0
Canada,CAN,2013,354768860.0
Canada,CAN,2015,327092500.0
Canada,CAN,2017,308962750.0
Canada,CAN,2019,148870460.0
Canada,CAN,2021,282139200.0
Canada,CAN,2024,1077565.5
Greece,GRC,2003,755824.1
Greece,GRC,2005,1402311.8
Greece,GRC,2007,17351270.0
Greece,GRC,2009,2668523.5
Greece,GRC,2011,1402978.0
Greece,GRC,2013,1287404.1
Greece,GRC,2015,973015.25
Greece,GRC,2017,3561133.0
Greece,GRC,2019,3372372.0
Greece,GRC,2021,11868343.0
Greece,GRC,2024,35787.54
Indonesia,IDN,2003,224461940.0
Indonesia,IDN,2005,249764930.0
Indonesia,IDN,2007,115257540.0
Indonesia,IDN,2009,350407900.0
Indonesia,IDN,2011,228857650.0
Indonesia,IDN,2013,150387500.0
Indonesia,IDN,2015,937664200.0
Indonesia,IDN,2017,68897336.0
Indonesia,IDN,2019,542522400.0
Indonesia,IDN,2021,53146580.0
Indonesia,IDN,2024,2259664.5
United States,USA,2003,145504200.0
United States,USA,2005,223026830.0
United States,USA,2007,197859200.0
United States,USA,2009,188683550.0
United States,USA,2011,181024450.0
United States,USA,2013,148493970.0
United States,USA,2015,203674660.0
United States,USA,2017,174504530.0
United States,USA,2019,145369300.0
United States,USA,2021,214744300.0
United States,USA,2024,2954256.0
World,OWID_WRL,2003,7812222500.0
World,OWID_WRL,2005,7147423000.0
World,OWID_WRL,2007,7278815700.0
World,OWID_WRL,2009,6088895000.0
World,OWID_WRL,2011,6761307600.0
World,OWID_WRL,2013,5780160000.0
World,OWID_WRL,2015,7219833000.0
World,OWID_WRL,2017,5646968300.0
World,OWID_WRL,2019,6182854000.0
World,OWID_WRL,2021,5893582300.0
World,OWID_WRL,2024,354873540.0
