Entity,Code,Year,"Average price on emissions covered by an ETS, weighted by the share of the country's CO₂ emissions"
Marshall Islands,MHL,1989,0.0
Marshall Islands,MHL,1995,0.0
Marshall Islands,MHL,2000,0.0
Marshall Islands,MHL,2005,0.0
Marshall Islands,MHL,2010,0.0
Marshall Islands,MHL,2015,0.0
Marshall Islands,MHL,2021,0.0
Nauru,NRU,1989,0.0
Nauru,NRU,1995,0.0
Nauru,NRU,2000,0.0
Nauru,NRU,2005,0.0
Nauru,NRU,2010,0.0
Nauru,NRU,2015,0.0
Nauru,NRU,2021,0.0
Tajikistan,TJK,1989,0.0
Tajikistan,TJK,1995,0.0
Tajikistan,TJK,2000,0.0
Tajikistan,TJK,2005,0.0
Tajikistan,TJK,2010,0.0
Tajikistan,TJK,2015,0.0
Tajikistan,TJK,2021,0.0
