Entity,Code,Year,"Deaths that are from all causes attributed to no access to handwashing facility per 100,000 people, in both sexes aged age-standardized"
Ecuador,ECU,1990,11.986967
Ecuador,ECU,1995,8.532053
Ecuador,ECU,2000,5.8148565
Ecuador,ECU,2005,5.19805
Ecuador,ECU,2010,4.5384417
Ecuador,ECU,2015,3.5884068
Ecuador,ECU,2019,3.2420468
El Salvador,SLV,1990,14.465507
El Salvador,SLV,1995,10.366427
El Salvador,SLV,2000,6.697014
El Salvador,SLV,2005,4.9400764
El Salvador,SLV,2010,4.1890464
El Salvador,SLV,2015,4.445331
El Salvador,SLV,2019,3.8905272
Guam,GUM,1990,1.3782047
Guam,GUM,1995,1.0255961
Guam,GUM,2000,0.67128956
Guam,GUM,2005,0.46461853
Guam,GUM,2010,0.43858513
Guam,GUM,2015,0.47269917
Guam,GUM,2019,0.4744153
Israel,ISR,1990,0.20041539
Israel,ISR,1995,0.14710578
Israel,ISR,2000,0.17024477
Israel,ISR,2005,0.17766851
Israel,ISR,2010,0.18868892
Israel,ISR,2015,0.19895561
Israel,ISR,2019,0.18414375
