Entity,Code,Year,elitecons_polch_vdem_owid,elitecons_polch_vdem_low_owid,elitecons_polch_vdem_high_owid
Argentina,ARG,1789,0.252,-0.416,1.162
Argentina,ARG,1850,0.163,-0.166,0.589
Argentina,ARG,1900,0.163,-0.166,0.589
Argentina,ARG,1950,-0.612,-1.076,-0.192
Argentina,ARG,2000,1.346,0.857,1.753
Argentina,ARG,2022,0.681,0.262,1.0
Australia,AUS,1789,-2.181,-3.001,-1.348
Australia,AUS,1850,-0.359,-1.002,0.239
Australia,AUS,1900,1.586,1.212,2.002
Australia,AUS,1950,1.586,1.212,2.002
Australia,AUS,2000,1.933,1.511,2.258
Australia,AUS,2022,1.992,1.428,2.477
Botswana,BWA,1900,-0.871,-1.355,-0.373
Botswana,BWA,1950,-0.871,-1.355,-0.373
Botswana,BWA,2000,2.522,2.016,2.987
Botswana,BWA,2022,-0.051,-0.518,0.432
China,CHN,1789,-1.844,-2.591,-1.021
China,CHN,1850,-1.844,-2.591,-1.021
China,CHN,1900,-1.805,-2.495,-1.312
China,CHN,1950,-0.206,-0.709,0.301
China,CHN,2000,0.487,0.015,0.976
China,CHN,2022,-0.808,-1.389,-0.255
