Entity,Code,Year,"GNI per capita, PPP (constant 2017 international $)"
Bolivia,BOL,1990,4210.134
Bolivia,BOL,1995,4764.6357
Bolivia,BOL,2000,5168.399
Bolivia,BOL,2005,5432.849
Bolivia,BOL,2010,6184.5845
Bolivia,BOL,2015,7564.8384
Bolivia,BOL,2021,7842.712
Burundi,BDI,2000,850.1308
Burundi,BDI,2005,783.37225
Burundi,BDI,2010,799.88367
Burundi,BDI,2015,781.6238
Burundi,BDI,2021,707.4984
Costa Rica,CRI,1995,12663.619
Costa Rica,CRI,2000,12112.721
Costa Rica,CRI,2005,13235.087
Costa Rica,CRI,2010,15721.437
Costa Rica,CRI,2015,18045.252
Costa Rica,CRI,2021,19520.04
Kosovo,OWID_KOS,2010,7751.9976
Kosovo,OWID_KOS,2015,9598.46
Kosovo,OWID_KOS,2021,12109.591
Kyrgyzstan,KGZ,1995,2453.1208
Kyrgyzstan,KGZ,2000,2888.3223
Kyrgyzstan,KGZ,2005,3394.2278
Kyrgyzstan,KGZ,2010,3889.7349
Kyrgyzstan,KGZ,2015,4632.766
Kyrgyzstan,KGZ,2021,4382.964
Middle East and North Africa (WB),,2000,12206.517
Middle East and North Africa (WB),,2005,13639.4
Middle East and North Africa (WB),,2010,14796.2295
Middle East and North Africa (WB),,2015,15979.777
Myanmar,MMR,2015,3585.8738
Myanmar,MMR,2021,3924.118
