Entity,Code,Year,Annual CO₂ emissions from oil
Australia,AUS,1750,0.0
Australia,AUS,1800,0.0
Australia,AUS,1850,0.0
Australia,AUS,1900,120912.0
Australia,AUS,1950,11035213.0
Australia,AUS,2000,102650110.0
Australia,AUS,2022,144456860.0
China,CHN,1950,619216.0
China,CHN,2000,648685600.0
China,CHN,2022,1451287000.0
European Union (27),,1800,0.0
European Union (27),,1850,0.0
European Union (27),,1900,8091222.0
European Union (27),,1950,118509500.0
European Union (27),,2000,1516363400.0
European Union (27),,2022,1236898800.0
India,IND,1900,1275072.0
India,IND,1950,7188768.0
India,IND,2000,312847200.0
India,IND,2022,684130800.0
Japan,JPN,1900,981952.0
Japan,JPN,1950,4470080.0
Japan,JPN,2000,677172030.0
Japan,JPN,2022,390599580.0
South Africa,ZAF,1900,0.0
South Africa,ZAF,1950,4946697.0
South Africa,ZAF,2000,33302098.0
South Africa,ZAF,2022,49577876.0
United Kingdom,GBR,1750,0.0
United Kingdom,GBR,1800,0.0
United Kingdom,GBR,1850,0.0
United Kingdom,GBR,1900,3055776.0
United Kingdom,GBR,1950,41967760.0
United Kingdom,GBR,2000,198237970.0
United Kingdom,GBR,2022,152507250.0
United States,USA,1800,0.0
United States,USA,1850,0.0
United States,USA,1900,24651392.0
United States,USA,1950,896800640.0
United States,USA,2000,2487796700.0
United States,USA,2022,2249519000.0
