Entity,Code,Year,"Deaths that are from all causes attributed to smoking per 100,000 people, in both sexes aged age-standardized"
American Samoa,ASM,1990,155.73251
American Samoa,ASM,1995,146.38058
American Samoa,ASM,2000,139.15547
American Samoa,ASM,2005,130.74992
American Samoa,ASM,2010,124.83233
American Samoa,ASM,2015,120.37199
American Samoa,ASM,2019,116.82009
Estonia,EST,1990,170.06465
Estonia,EST,1995,188.94331
Estonia,EST,2000,147.74014
Estonia,EST,2005,126.54662
Estonia,EST,2010,98.07408
Estonia,EST,2015,86.76312
Estonia,EST,2019,83.86902
Zambia,ZMB,1990,112.21718
Zambia,ZMB,1995,124.15784
Zambia,ZMB,2000,123.805885
Zambia,ZMB,2005,112.5108
Zambia,ZMB,2010,98.27215
Zambia,ZMB,2015,85.407036
Zambia,ZMB,2019,78.31611
