Entity,Code,Year,Very important in life: Friends,Continent
Andorra,AND,2022,54.88048,
Austria,AUT,2022,60.14351,
Cyprus,CYP,2022,53.22321,
Czechia,CZE,2022,49.86259,
Ecuador,ECU,2022,26.3773,
Egypt,EGY,2022,41.66666,
Guatemala,GTM,2022,38.48657,
Hong Kong,HKG,2022,31.88002,
Iceland,ISL,2022,56.37655,
Japan,JPN,2022,40.42868,
Jordan,JOR,2022,51.37157,
Kazakhstan,KAZ,2022,43.73041,
Kyrgyzstan,KGZ,2022,52.3493,
Myanmar,MMR,2022,11.83333,
Nicaragua,NIC,2022,39.08334,
Northern Ireland,,2022,69.9334,
Tunisia,TUN,2022,47.01987,
Venezuela,VEN,2022,35.79832,
