Entity,Code,Year,BCG (% of one-year-olds immunized)
African Region (WHO),,1980,9
African Region (WHO),,1985,46
African Region (WHO),,1990,74
African Region (WHO),,1995,67
African Region (WHO),,2000,69
African Region (WHO),,2005,74
African Region (WHO),,2010,82
African Region (WHO),,2015,78
African Region (WHO),,2021,78
Eastern Mediterranean Region (WHO),,1980,18
Eastern Mediterranean Region (WHO),,1985,62
Eastern Mediterranean Region (WHO),,1990,83
Eastern Mediterranean Region (WHO),,1995,78
Eastern Mediterranean Region (WHO),,2000,79
Eastern Mediterranean Region (WHO),,2005,82
Eastern Mediterranean Region (WHO),,2010,83
Eastern Mediterranean Region (WHO),,2015,86
Eastern Mediterranean Region (WHO),,2021,88
European Region (WHO),,1980,21
European Region (WHO),,1985,81
European Region (WHO),,1990,84
European Region (WHO),,1995,91
European Region (WHO),,2000,94
European Region (WHO),,2005,90
European Region (WHO),,2010,95
European Region (WHO),,2015,90
European Region (WHO),,2021,92
Region of the Americas (WHO),,1980,53
Region of the Americas (WHO),,1985,58
Region of the Americas (WHO),,1990,79
Region of the Americas (WHO),,1995,96
Region of the Americas (WHO),,2000,96
Region of the Americas (WHO),,2005,97
Region of the Americas (WHO),,2010,96
Region of the Americas (WHO),,2015,96
Region of the Americas (WHO),,2021,81
South-East Asia Region (WHO),,1980,12
South-East Asia Region (WHO),,1985,20
South-East Asia Region (WHO),,1990,71
South-East Asia Region (WHO),,1995,82
South-East Asia Region (WHO),,2000,78
South-East Asia Region (WHO),,2005,87
South-East Asia Region (WHO),,2010,90
South-East Asia Region (WHO),,2015,89
South-East Asia Region (WHO),,2021,85
Western Pacific Region (WHO),,1980,5
Western Pacific Region (WHO),,1985,64
Western Pacific Region (WHO),,1990,96
Western Pacific Region (WHO),,1995,81
Western Pacific Region (WHO),,2000,86
Western Pacific Region (WHO),,2005,88
Western Pacific Region (WHO),,2010,98
Western Pacific Region (WHO),,2015,96
Western Pacific Region (WHO),,2021,89
