Entity,Code,Year,It is important to this person living in secure surroundings: Like me (aggregate),Continent
Algeria,DZA,2015,,Africa
Andorra,AND,2015,,Europe
Antarctica,ATA,2015,,Antarctica
Armenia,ARM,2015,,Asia
Bulgaria,BGR,2015,,Europe
Chile,CHL,2015,,South America
Kazakhstan,KAZ,2015,,Asia
Lebanon,LBN,2015,,Asia
Moldova,MDA,2015,,Europe
Nigeria,NGA,2015,,Africa
Norway,NOR,2015,,Europe
Pakistan,PAK,2015,,Asia
Palestine,PSE,2015,,Asia
Peru,PER,2015,,South America
Philippines,PHL,2015,,Asia
Qatar,QAT,2015,,Asia
Romania,ROU,2015,,Europe
Rwanda,RWA,2015,,Africa
South Korea,KOR,2015,,Asia
Switzerland,CHE,2015,,Europe
Vietnam,VNM,2015,,Asia
