Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - Drug use disorders - Sex: Both - Age: Age-standardized (Rate)
Bangladesh,BGD,1990,63.83
Bangladesh,BGD,1995,63.65
Bangladesh,BGD,2000,65.21
Bangladesh,BGD,2005,70.57
Bangladesh,BGD,2010,78.68
Bangladesh,BGD,2015,84.58
Bangladesh,BGD,2019,87.61
Papua New Guinea,PNG,1990,79.08
Papua New Guinea,PNG,1995,79.12
Papua New Guinea,PNG,2000,82.35
Papua New Guinea,PNG,2005,84.19
Papua New Guinea,PNG,2010,85.86
Papua New Guinea,PNG,2015,86.69
Papua New Guinea,PNG,2019,90.01
Paraguay,PRY,1990,139.3
Paraguay,PRY,1995,137.0
Paraguay,PRY,2000,139.81
Paraguay,PRY,2005,139.35
Paraguay,PRY,2010,142.39
Paraguay,PRY,2015,138.69
Paraguay,PRY,2019,142.77
