Entity,Code,Year,Death rate in ongoing wars (low estimate) - Conflict type: civil war,Death rate in ongoing wars (low estimate) - Conflict type: others (non-civil)
Americas,,1816,8.294883,0.0
Americas,,1823,6.965675,0.0
Americas,,1830,2.9536128,0.0
Americas,,1837,0.4288269,2.2444983
Americas,,1844,1.3503903,2.2179375
Americas,,1851,0.0,1.4307091
Americas,,1858,0.0,0.0
Americas,,1865,43.22707,14.740524
Americas,,1872,0.0,0.0
Americas,,1879,0.0,2.7339022
Americas,,1886,0.0,0.0
Americas,,1893,0.0,0.0
Americas,,1900,17.350355,0.0
Americas,,1907,0.0,0.60907304
Americas,,1914,0.0,0.0
Americas,,1921,0.0,0.0
Americas,,1928,0.0,0.0
Americas,,1935,0.0,2.3692174
Americas,,1942,0.0,0.0
Americas,,1949,0.0,0.0
Americas,,1956,0.0,0.0
Americas,,1963,0.0,0.0
Americas,,1970,0.0,0.0
Americas,,1977,0.0,0.0
Americas,,1984,0.0,0.0
Americas,,1991,0.0,0.0
Americas,,1998,0.0,0.0
Americas,,2011,0.0,0.0
