Entity,Code,Year,Deaths - Sex: all - Age: all - Variant: estimates
Bermuda,BMU,1950,564
Bermuda,BMU,1960,349
Bermuda,BMU,1970,383
Bermuda,BMU,1980,370
Bermuda,BMU,1990,423
Bermuda,BMU,2000,374
Bermuda,BMU,2010,429
Bermuda,BMU,2021,689
Bolivia,BOL,1950,81441
Bolivia,BOL,1960,85203
Bolivia,BOL,1970,88623
Bolivia,BOL,1980,88850
Bolivia,BOL,1990,84760
Bolivia,BOL,2000,84517
Bolivia,BOL,2010,78359
Bolivia,BOL,2021,120158
Eswatini,SWZ,1950,5842
Eswatini,SWZ,1960,6533
Eswatini,SWZ,1970,6852
Eswatini,SWZ,1980,6547
Eswatini,SWZ,1990,6085
Eswatini,SWZ,2000,15013
Eswatini,SWZ,2010,17582
Eswatini,SWZ,2021,13566
