Entity,Code,Year,17.13.1 - Annual broad money growth (%) - FM_LBL_BMNY_ZG
Azerbaijan,AZE,2000,73.41
Azerbaijan,AZE,2010,24.3
Azerbaijan,AZE,2020,1.11
Burundi,BDI,1970,27.0
Burundi,BDI,1980,3.4
Burundi,BDI,1990,9.99
Burundi,BDI,2000,15.54
Burundi,BDI,2010,24.98
Burundi,BDI,2020,24.11
Niger,NER,1963,18.55
Niger,NER,1970,4.15
Niger,NER,1980,20.82
Niger,NER,1990,-4.05
Niger,NER,2000,12.82
Niger,NER,2010,22.61
Niger,NER,2020,17.01
Uganda,UGA,1970,19.57
Uganda,UGA,1980,34.81
Uganda,UGA,1990,60.24
Uganda,UGA,2000,18.14
Uganda,UGA,2010,38.08
Uganda,UGA,2020,17.13
