Entity,Code,Year,2.2.2 - Proportion of children moderately or severely overweight (%) - SN_STA_OVWGT
Brazil,BRA,2000,6.2
Brazil,BRA,2005,7.0
Brazil,BRA,2010,7.6
Brazil,BRA,2015,8.5
Brazil,BRA,2020,9.7
Brazil,BRA,2022,10.3
China,CHN,2000,6.4
China,CHN,2005,6.6
China,CHN,2010,6.7
China,CHN,2015,7.4
China,CHN,2020,8.3
China,CHN,2022,8.9
India,IND,2000,2.8
India,IND,2005,2.4
India,IND,2010,2.2
India,IND,2015,2.2
India,IND,2020,2.5
India,IND,2022,2.8
Mexico,MEX,2000,7.4
Mexico,MEX,2005,7.1
Mexico,MEX,2010,6.9
Mexico,MEX,2015,6.7
Mexico,MEX,2020,6.7
Mexico,MEX,2022,6.9
Philippines,PHL,2000,2.3
Philippines,PHL,2005,2.7
Philippines,PHL,2010,3.2
Philippines,PHL,2015,3.9
Philippines,PHL,2020,4.5
Philippines,PHL,2022,4.6
United States,USA,2000,7.3
United States,USA,2005,8.0
United States,USA,2010,8.3
United States,USA,2015,8.4
United States,USA,2020,8.1
United States,USA,2022,7.9
