Entity,Code,Year,"Homicide rate per 100,000 population - Both Sexes - Age 0-19"
Colombia,COL,1960,7.4401455
Colombia,COL,1990,20.875662
Colombia,COL,2000,24.967615
Colombia,COL,2010,14.866799
Mexico,MEX,1960,5.9110446
Mexico,MEX,1970,3.5430853
Mexico,MEX,1980,4.020205
Mexico,MEX,1990,5.3150187
Mexico,MEX,2000,3.3215427
Mexico,MEX,2010,5.8398685
Mexico,MEX,2020,6.4987535
United States,USA,1950,1.5149156
United States,USA,1960,1.5246391
United States,USA,1970,3.0415199
United States,USA,1980,4.4700017
United States,USA,1990,5.9419227
United States,USA,2000,3.7046921
United States,USA,2010,3.3325076
United States,USA,2020,4.257755
Venezuela,VEN,1960,1.5357162
Venezuela,VEN,1970,1.772199
Venezuela,VEN,1980,3.5705526
Venezuela,VEN,1990,5.423851
Venezuela,VEN,2000,10.887972
Venezuela,VEN,2010,14.84065
