Entity,Code,Year,Annual CO₂ emissions per GDP (kg per international-$)
Georgia,GEO,2000,0.19109552
Georgia,GEO,2018,0.17059536
Germany,DEU,1820,0.08638097
Germany,DEU,1850,0.19711569
Germany,DEU,1900,1.2627003
Germany,DEU,1950,1.2073852
Germany,DEU,2000,0.3279172
Germany,DEU,2018,0.19424053
Kyrgyzstan,KGZ,2000,0.29202074
Kyrgyzstan,KGZ,2018,0.37740156
Morocco,MAR,1950,0.11814251
Morocco,MAR,2000,0.24355417
Morocco,MAR,2018,0.20771125
Philippines,PHL,1950,0.09997762
Philippines,PHL,2000,0.22163883
Philippines,PHL,2018,0.15509763
Slovakia,SVK,2000,0.5528443
Slovakia,SVK,2018,0.24652737
