Entity,Code,Year,GDP per capita,814479-annotations
East Asia (AHDI),,1870,548.8787,
East Asia (AHDI),,1880,639.4383,
East Asia (AHDI),,1900,737.56195,
East Asia (AHDI),,1960,1075.6387,
East Asia (AHDI),,1980,2301.2122,
East Asia (AHDI),,2000,5042.6763,
East Asia (AHDI),,2020,9380.401,
Eastern Europe (AHDI),,1870,953.5355,
Eastern Europe (AHDI),,1880,1122.8901,
Eastern Europe (AHDI),,1900,1491.9674,
Eastern Europe (AHDI),,1960,3055.4077,
Eastern Europe (AHDI),,1980,5969.99,
Eastern Europe (AHDI),,2000,5214.146,
Eastern Europe (AHDI),,2020,10092.055,
Latin America (AHDI),,1870,819.2018,
Latin America (AHDI),,1880,875.2515,
Latin America (AHDI),,1900,1101.8568,
Latin America (AHDI),,1960,3044.767,
Latin America (AHDI),,1980,5402.7056,
Latin America (AHDI),,2000,5838.463,
Latin America (AHDI),,2020,6763.711,
Middle East (AHDI),,1870,714.2226,
Middle East (AHDI),,1880,751.796,
Middle East (AHDI),,1900,904.991,
Middle East (AHDI),,1960,2502.9868,
Middle East (AHDI),,1980,5473.705,
Middle East (AHDI),,2000,5711.658,
Middle East (AHDI),,2020,7121.5474,
North Africa (AHDI),,1870,739.61896,
North Africa (AHDI),,1880,771.27136,
North Africa (AHDI),,1900,874.32587,
North Africa (AHDI),,1960,1379.2937,
North Africa (AHDI),,1980,2519.082,
North Africa (AHDI),,2000,3186.9976,
North Africa (AHDI),,2020,4438.9346,
South Asia (AHDI),,1870,534.16943,
South Asia (AHDI),,1880,551.96014,
South Asia (AHDI),,1900,606.5528,
South Asia (AHDI),,1960,735.546,
South Asia (AHDI),,1980,929.09955,
South Asia (AHDI),,2000,1763.2407,
South Asia (AHDI),,2020,4313.3633,
Sub Saharan Africa (AHDI),,1870,561.6095,
Sub Saharan Africa (AHDI),,1880,582.97424,
Sub Saharan Africa (AHDI),,1900,620.31854,
Sub Saharan Africa (AHDI),,1960,989.266,
Sub Saharan Africa (AHDI),,1980,1273.3004,
Sub Saharan Africa (AHDI),,2000,1120.8405,
Sub Saharan Africa (AHDI),,2020,1645.4761,
Western Europe (AHDI),,1870,1954.3141,
Western Europe (AHDI),,1880,2152.5046,
Western Europe (AHDI),,1900,2795.9832,
Western Europe (AHDI),,1960,6719.735,
Western Europe (AHDI),,1980,13005.929,
Western Europe (AHDI),,2000,19212.96,
Western Europe (AHDI),,2020,20881.086,
Western offshoots (AHDI),,1870,2417.6167,"United States, Canada, Australia and New Zealand"
Western offshoots (AHDI),,1880,3122.645,"United States, Canada, Australia and New Zealand"
Western offshoots (AHDI),,1900,4013.7031,"United States, Canada, Australia and New Zealand"
Western offshoots (AHDI),,1960,10956.332,"United States, Canada, Australia and New Zealand"
Western offshoots (AHDI),,1980,18059.096,"United States, Canada, Australia and New Zealand"
Western offshoots (AHDI),,2000,27592.396,"United States, Canada, Australia and New Zealand"
Western offshoots (AHDI),,2020,32066.748,"United States, Canada, Australia and New Zealand"
