Entity,Code,Year,Consumption of controlled substance (zero-filled) - Chemical: All (Ozone-depleting)
Algeria,DZA,1986,6636.8
Algeria,DZA,1995,2520.9
Algeria,DZA,2000,1704.5
Algeria,DZA,2005,956.2
Algeria,DZA,2010,65.68
Algeria,DZA,2015,53.43
Algeria,DZA,2020,39.33
Guinea,GIN,1986,37.9
Guinea,GIN,1990,40.6
Guinea,GIN,1995,48.5
Guinea,GIN,2000,49.9
Guinea,GIN,2005,26.099998
Guinea,GIN,2010,23.4
Guinea,GIN,2015,5.65
Guinea,GIN,2020,1.65
Paraguay,PRY,1986,151.2
Paraguay,PRY,1995,212.8
Paraguay,PRY,2000,175.5
Paraguay,PRY,2005,266.9
Paraguay,PRY,2010,20.9
Paraguay,PRY,2015,15.99
Paraguay,PRY,2020,10.91
Paraguay,PRY,2022,9.79
Vanuatu,VUT,1986,0.0
Vanuatu,VUT,1995,0.5
Vanuatu,VUT,2000,0.0
Vanuatu,VUT,2005,0.0
Vanuatu,VUT,2010,0.5
Vanuatu,VUT,2015,0.02
Vanuatu,VUT,2020,0.0
Venezuela,VEN,1986,4593.4
Venezuela,VEN,1990,4808.6
Venezuela,VEN,1995,5074.8
Venezuela,VEN,2000,2986.7998
Venezuela,VEN,2005,1946.0
Venezuela,VEN,2010,197.7
Venezuela,VEN,2015,45.72
Venezuela,VEN,2020,0.0
