Entity,Code,Year,"Yes, would feel safe",Don't know - self-driving cars question,Refused - self-driving cars question,"No, would not feel safe"
Canada,CAN,2021,27.920792,1.089109,0.0990099,70.89109
China,CHN,2021,33.857143,11.085714,0.114285715,54.942856
France,FRA,2021,35.1,0.4,,64.5
Germany,DEU,2021,27.5,1.0,,71.5
India,IND,2021,23.666666,7.0666666,0.2,69.066666
Indonesia,IDN,2021,8.184383,4.6095953,,87.206024
Italy,ITA,2021,42.1,0.5,,57.4
Japan,JPN,2021,30.49505,5.0495048,,64.455444
Pakistan,PAK,2021,23.8,7.4,0.3,68.5
United Kingdom,GBR,2021,28.7,5.0,0.2,66.1
United States,USA,2021,26.368158,0.19900498,0.09950249,73.333336
