Entity,Code,Year,Share of cereals that are allocated to human food,"GDP per capita, PPP (constant 2017 international $)",Continent
Afghanistan,AFG,2020,96.2632,1968.341,
Africa,,2020,75.843735,,
Albania,ALB,2020,41.692467,13256.125,
Algeria,DZA,2020,52.71375,10844.7705,
Angola,AGO,2020,81.797585,6032.275,
Antigua and Barbuda,ATG,2020,100.0,18275.69,
Argentina,ARG,2020,23.168705,19685.217,
Armenia,ARM,2020,65.93567,13357.697,
Asia,,2020,64.08511,,
Australia,AUS,2020,21.41006,48747.85,
Azerbaijan,AZE,2020,57.236675,13726.77,
Bahrain,BHR,2020,96.07843,47847.84,
Bangladesh,BGD,2020,70.38356,5591.374,
Belarus,BLR,2020,14.864865,19225.574,
Belize,BLZ,2020,42.857143,7703.118,
Benin,BEN,2020,62.393745,3186.478,
Bhutan,BTN,2020,86.17512,10547.052,
Bolivia,BOL,2020,46.562122,7679.933,
Botswana,BWA,2020,90.18088,13545.674,
Brazil,BRA,2020,31.621275,14021.958,
Bulgaria,BGR,2020,36.880074,22483.598,
Burkina Faso,BFA,2020,81.14942,2093.7336,
Burundi,BDI,2020,96.55173,711.3553,
Cambodia,KHM,2020,41.683678,4276.1846,
Cameroon,CMR,2020,80.635056,3665.5105,
Canada,CAN,2020,14.615634,46064.254,
Cape Verde,CPV,2020,90.196075,5768.5386,
Chad,TCD,2020,97.17773,1489.1868,
Chile,CHL,2020,40.920345,23017.69,
China,CHN,2020,49.429394,16296.779,
Comoros,COM,2020,98.14815,3222.374,
Cyprus,CYP,2020,26.053041,39471.582,
Czechia,CZE,2020,30.668604,38639.98,
Denmark,DNK,2020,7.834723,55518.598,
Djibouti,DJI,2020,93.888885,4753.8877,
Dominica,DMA,2020,100.0,10255.761,
Ecuador,ECU,2020,70.93544,10356.975,
Eswatini,SWZ,2020,61.01695,8290.409,
Ethiopia,ETH,2020,72.41599,2253.2358,
Europe,,2020,28.304005,,
Fiji,FJI,2020,92.207794,10966.925,
Georgia,GEO,2020,78.42566,13966.326,
Ghana,GHA,2020,62.937855,5263.5264,
Greece,GRC,2020,29.662699,27103.541,
Guatemala,GTM,2020,64.80066,8390.223,
Guinea,GIN,2020,56.8377,2604.1172,
Guinea-Bissau,GNB,2020,91.79894,1803.6306,
Guyana,GUY,2020,64.0625,18430.57,
Haiti,HTI,2020,89.5249,2959.0894,
Hungary,HUN,2020,13.965342,31231.596,
Iceland,ISL,2020,35.526318,52174.574,
Ireland,IRL,2020,15.768303,91099.75,
Italy,ITA,2020,36.417767,39065.28,
Jamaica,JAM,2020,56.949154,9198.148,
Japan,JPN,2020,51.95442,39935.465,
Kazakhstan,KAZ,2020,47.109596,25361.508,
Kyrgyzstan,KGZ,2020,49.35745,4726.197,
Luxembourg,LUX,2020,46.153847,111751.31,
Malaysia,MYS,2020,58.191093,25830.973,
Mali,MLI,2020,64.95632,2123.8281,
Malta,MLT,2020,46.268658,40740.97,
Myanmar,MMR,2020,55.1898,4947.0938,
Nepal,NPL,2020,67.20517,3761.8027,
Niger,NER,2020,88.202736,1214.5465,
North America,,2020,17.995817,,
Oceania,,2020,29.112915,,
Peru,PER,2020,45.46575,11176.919,
Philippines,PHL,2020,79.74612,7773.2603,
Qatar,QAT,2020,64.06444,89019.07,
Sierra Leone,SLE,2020,87.18731,1586.196,
South America,,2020,35.826153,,
Turkey,TUR,2020,52.978943,28473.205,
