Entity,Code,Year,justified_polch_vdem_owid,justified_polch_vdem_low_owid,justified_polch_vdem_high_owid
Argentina,ARG,1900,0.96,0.492,1.362
Argentina,ARG,1920,1.773,1.219,2.265
Argentina,ARG,1940,1.043,0.54,1.509
Argentina,ARG,1960,2.413,1.701,3.031
Argentina,ARG,1980,0.697,0.259,1.132
Argentina,ARG,2000,2.485,1.787,3.151
Argentina,ARG,2022,1.901,1.22,2.553
Australia,AUS,1920,1.612,1.002,2.104
Australia,AUS,1940,1.612,1.002,2.104
Australia,AUS,1960,1.612,1.002,2.104
Australia,AUS,1980,1.612,1.002,2.104
Australia,AUS,2000,1.612,1.002,2.104
Australia,AUS,2022,2.302,1.828,2.823
Botswana,BWA,1900,-1.764,-2.464,-0.95
Botswana,BWA,1920,-1.764,-2.464,-0.95
Botswana,BWA,1940,-1.764,-2.464,-0.95
Botswana,BWA,1960,-1.764,-2.464,-0.95
Botswana,BWA,1980,0.577,0.09,0.998
Botswana,BWA,2000,0.984,0.715,1.266
Botswana,BWA,2022,0.537,0.009,1.093
China,CHN,1900,-1.409,-1.766,-0.924
China,CHN,1920,-0.44,-0.722,-0.075
China,CHN,1940,-0.507,-0.836,-0.186
China,CHN,1960,-0.923,-1.283,-0.568
China,CHN,1980,0.613,0.323,0.954
China,CHN,2000,1.108,0.75,1.446
China,CHN,2022,0.508,0.123,0.88
