Entity,Code,Year,16.6.1 - Primary government expenditures as a proportion of original approved budget (%) - GF_XPD_GBPC
Afghanistan,AFG,2008,80.21
Afghanistan,AFG,2012,69.83
Afghanistan,AFG,2014,69.92
Afghanistan,AFG,2016,79.53
Afghanistan,AFG,2018,96.31
Afghanistan,AFG,2020,91.56
Bangladesh,BGD,2008,93.99
Bangladesh,BGD,2010,89.27
Bangladesh,BGD,2012,93.18
Bangladesh,BGD,2014,84.59
Bangladesh,BGD,2016,80.8
Bangladesh,BGD,2018,80.41
Bangladesh,BGD,2020,80.31
Bangladesh,BGD,2022,84.54
Brazil,BRA,2005,95.26
Brazil,BRA,2006,95.05
Brazil,BRA,2008,91.08
Brazil,BRA,2010,89.0
Brazil,BRA,2012,86.61
Brazil,BRA,2014,88.52
Brazil,BRA,2016,96.09
Brazil,BRA,2018,92.52
Brazil,BRA,2020,119.78
India,IND,2008,104.72
India,IND,2010,100.36
India,IND,2012,103.71
India,IND,2014,93.64
India,IND,2016,100.75
India,IND,2018,99.77
India,IND,2020,96.41
India,IND,2022,108.92
Niger,NER,2010,67.36
Niger,NER,2012,73.78
Niger,NER,2014,68.06
Niger,NER,2016,69.91
Sierra Leone,SLE,2008,96.46
Sierra Leone,SLE,2010,130.74
Sierra Leone,SLE,2012,123.66
Sierra Leone,SLE,2014,110.62
Sierra Leone,SLE,2016,106.65
Tunisia,TUN,2006,99.53
Tunisia,TUN,2008,106.41
Tunisia,TUN,2010,97.23
Tunisia,TUN,2012,103.11
Tunisia,TUN,2014,94.51
Tunisia,TUN,2016,99.59
Tunisia,TUN,2018,105.53
Tunisia,TUN,2020,104.75
Tunisia,TUN,2022,103.18
