Entity,Code,Year,Tobacco | 00000826 || Production | 005510 || tonnes
Brazil,BRA,1961,167839.0
Brazil,BRA,1970,244000.0
Brazil,BRA,1980,404860.0
Brazil,BRA,1990,445489.0
Brazil,BRA,2000,579727.0
Brazil,BRA,2010,787817.0
Brazil,BRA,2021,744161.0
China,CHN,1961,380000.0
China,CHN,1970,785000.0
China,CHN,1980,900000.0
China,CHN,1990,2627082.0
China,CHN,2000,2552344.0
China,CHN,2010,3004000.0
China,CHN,2021,2127600.0
India,IND,1961,307000.0
India,IND,1970,337100.0
India,IND,1980,438500.0
India,IND,1990,551600.0
India,IND,2000,520000.0
India,IND,2010,690000.0
India,IND,2021,757513.94
Russia,RUS,2000,1440.0
Russia,RUS,2010,3.0
Russia,RUS,2021,6.9
United States,USA,1961,935000.0
United States,USA,1970,864752.0
United States,USA,1980,810200.0
United States,USA,1990,737710.0
United States,USA,2000,477750.0
United States,USA,2010,325766.0
United States,USA,2021,216800.0
