Entity,Code,Year,"Current number of cases of neoplasms per 100 people, in both sexes aged all ages"
Malawi,MWI,1990,1.7508124
Malawi,MWI,1995,1.766426
Malawi,MWI,2000,1.724723
Malawi,MWI,2005,1.69774
Malawi,MWI,2010,1.6997292
Malawi,MWI,2015,1.7284745
Malawi,MWI,2019,1.7779807
Region of the Americas (WHO),,1990,5.224524
Region of the Americas (WHO),,1995,5.243129
Region of the Americas (WHO),,2000,5.3467727
Region of the Americas (WHO),,2005,5.5663266
Region of the Americas (WHO),,2010,5.903865
Region of the Americas (WHO),,2015,6.22076
Region of the Americas (WHO),,2019,6.777588
Sao Tome and Principe,STP,1990,3.1407547
Sao Tome and Principe,STP,1995,3.0947483
Sao Tome and Principe,STP,2000,3.0835314
Sao Tome and Principe,STP,2005,3.0813525
Sao Tome and Principe,STP,2010,3.1701152
Sao Tome and Principe,STP,2015,3.3180177
Sao Tome and Principe,STP,2019,3.4832897
Sierra Leone,SLE,1990,3.1603472
Sierra Leone,SLE,1995,3.1709678
Sierra Leone,SLE,2000,3.083787
Sierra Leone,SLE,2005,2.993943
Sierra Leone,SLE,2010,2.9890218
Sierra Leone,SLE,2015,3.0281892
Sierra Leone,SLE,2019,3.0892775
