Entity,Code,Year,Annual nitrous oxide emissions in CO₂ equivalents,Annual methane emissions in CO₂ equivalents,Annual CO₂ emissions
World,OWID_WRL,1850,147522530.0,1239386900.0,2616430800.0
World,OWID_WRL,1860,167105920.0,1317370100.0,2975133200.0
World,OWID_WRL,1880,252078640.0,1544128400.0,3948691700.0
World,OWID_WRL,1900,313131800.0,1919402000.0,5947649000.0
World,OWID_WRL,1920,420953730.0,2355906000.0,7770820000.0
World,OWID_WRL,1940,507913200.0,3074402600.0,9864946000.0
World,OWID_WRL,1960,1280579800.0,5043982300.0,15954564000.0
World,OWID_WRL,1980,2168083700.0,7204004000.0,23575566000.0
World,OWID_WRL,2000,2393430800.0,8400780000.0,30549210000.0
World,OWID_WRL,2021,2968141000.0,10506912000.0,41118142000.0
