Entity,Code,Year,Combined - average years of education for 15-64 years male and female youth and adults
Guatemala,GTM,1870,0.22
Guatemala,GTM,1880,0.32
Guatemala,GTM,1900,0.84
Guatemala,GTM,1920,1.31
Guatemala,GTM,1940,1.43
Guatemala,GTM,1960,1.41
Guatemala,GTM,1980,2.94
Guatemala,GTM,2000,4.35
Guatemala,GTM,2020,6.26
Switzerland,CHE,1870,4.09
Switzerland,CHE,1880,4.47
Switzerland,CHE,1900,5.31
Switzerland,CHE,1920,7.11
Switzerland,CHE,1940,8.21
Switzerland,CHE,1960,9.16
Switzerland,CHE,1980,11.32
Switzerland,CHE,2000,10.14
Switzerland,CHE,2020,12.97
Syria,SYR,1870,0.01
Syria,SYR,1880,0.02
Syria,SYR,1900,0.04
Syria,SYR,1920,0.37
Syria,SYR,1940,0.69
Syria,SYR,1960,1.31
Syria,SYR,1980,3.55
Syria,SYR,2000,4.79
Syria,SYR,2020,7.92
World,OWID_WRL,1870,0.46406668
World,OWID_WRL,1880,0.60458994
World,OWID_WRL,1900,1.0196782
World,OWID_WRL,1920,1.6538475
World,OWID_WRL,1940,2.6273258
World,OWID_WRL,1960,3.5398054
World,OWID_WRL,1980,5.3418493
World,OWID_WRL,2000,7.30281
World,OWID_WRL,2020,8.840671
