Entity,Code,Year,Political regime (with women's suffrage)
Belgium,BEL,1850,0
Belgium,BEL,1900,0
Belgium,BEL,1950,1
Belgium,BEL,2000,1
Belgium,BEL,2013,1
Belgium,BEL,2020,1
Italy,ITA,1900,0
Italy,ITA,1950,1
Italy,ITA,2000,1
Italy,ITA,2013,1
Italy,ITA,2020,1
Lithuania,LTU,1950,0
Lithuania,LTU,2000,1
Lithuania,LTU,2013,1
Lithuania,LTU,2020,1
Turkmenistan,TKM,1800,0
Turkmenistan,TKM,1850,0
Turkmenistan,TKM,1900,0
Turkmenistan,TKM,1950,0
Turkmenistan,TKM,2000,0
Turkmenistan,TKM,2013,0
Turkmenistan,TKM,2020,0
