Entity,Code,Year,Variable:% Recycling - MUNW
Australia,AUS,2015,41.585
Germany,DEU,1995,26.299
Germany,DEU,2000,38.144
Germany,DEU,2005,44.537
Germany,DEU,2010,45.65
Germany,DEU,2015,47.827
Norway,NOR,1992,7.93
Norway,NOR,1995,11.815
Norway,NOR,2000,21.996
Norway,NOR,2005,26.367
Norway,NOR,2010,26.523
Norway,NOR,2015,26.129
Portugal,PRT,1995,1.134
Portugal,PRT,2000,3.343
Portugal,PRT,2005,8.551
Portugal,PRT,2010,11.349
Turkey,TUR,1995,0.0
Turkey,TUR,2000,0.0
Turkey,TUR,2005,0.0
Turkey,TUR,2010,0.0
