Entity,Code,Year,"Deaths that are from all causes attributed to ambient ozone pollution per 100,000 people, in both sexes aged all ages"
China,CHN,1990,8.999908
China,CHN,1995,9.986766
China,CHN,2000,10.29921
China,CHN,2005,11.125429
China,CHN,2010,10.624518
China,CHN,2015,6.838621
China,CHN,2019,6.557534
India,IND,1990,5.050312
India,IND,1995,5.491008
India,IND,2000,6.666292
India,IND,2005,6.900392
India,IND,2010,7.433274
India,IND,2015,10.148338
India,IND,2019,12.079285
Indonesia,IDN,1990,0.21724951
Indonesia,IDN,1995,0.3406079
Indonesia,IDN,2000,0.32541776
Indonesia,IDN,2005,0.7664194
Indonesia,IDN,2010,0.75044984
Indonesia,IDN,2015,1.283477
Indonesia,IDN,2019,1.3168209
United States,USA,1990,3.5188932
United States,USA,1995,4.129015
United States,USA,2000,4.9013095
United States,USA,2005,4.7367024
United States,USA,2010,4.2630615
United States,USA,2015,3.9776454
United States,USA,2019,3.8980346
