Entity,Code,Year,"DALYs that are from all causes attributed to lead exposure, in both sexes aged all ages"
Afghanistan,AFG,1990,165841.25
Afghanistan,AFG,1995,206077.94
Afghanistan,AFG,2000,236384.34
Afghanistan,AFG,2005,249159.67
Afghanistan,AFG,2010,251141.77
Afghanistan,AFG,2015,262544.38
Afghanistan,AFG,2019,283951.1
African Region (WHO),,1990,894304.94
African Region (WHO),,1995,1031135.9
African Region (WHO),,2000,1150026.8
African Region (WHO),,2005,1205842.1
African Region (WHO),,2010,1251494.5
African Region (WHO),,2015,1291813.6
African Region (WHO),,2019,1329557.9
Argentina,ARG,1990,39991.938
Argentina,ARG,1995,40343.527
Argentina,ARG,2000,38788.652
Argentina,ARG,2005,37376.0
Argentina,ARG,2010,36623.3
Argentina,ARG,2015,35826.37
Argentina,ARG,2019,36690.72
Barbados,BRB,1990,431.09384
Barbados,BRB,1995,439.60086
Barbados,BRB,2000,384.44516
Barbados,BRB,2005,362.5189
Barbados,BRB,2010,345.01248
Barbados,BRB,2015,354.69296
Barbados,BRB,2019,376.50485
Bermuda,BMU,1990,89.18932
Bermuda,BMU,1995,79.93961
Bermuda,BMU,2000,74.26756
Bermuda,BMU,2005,65.41022
Bermuda,BMU,2010,59.95703
Bermuda,BMU,2015,61.324276
Bermuda,BMU,2019,60.460888
Cote d'Ivoire,CIV,1990,13083.606
Cote d'Ivoire,CIV,1995,18084.791
Cote d'Ivoire,CIV,2000,21714.857
Cote d'Ivoire,CIV,2005,23688.787
Cote d'Ivoire,CIV,2010,24623.787
Cote d'Ivoire,CIV,2015,25600.262
Cote d'Ivoire,CIV,2019,25102.629
Equatorial Guinea,GNQ,1990,1536.2483
Equatorial Guinea,GNQ,1995,1560.2156
Equatorial Guinea,GNQ,2000,1255.1195
Equatorial Guinea,GNQ,2005,1053.8905
Equatorial Guinea,GNQ,2010,1047.2693
Equatorial Guinea,GNQ,2015,1092.2095
Equatorial Guinea,GNQ,2019,1174.224
Latvia,LVA,1990,2857.9558
Latvia,LVA,1995,3793.7114
Latvia,LVA,2000,3115.1973
Latvia,LVA,2005,3255.1213
Latvia,LVA,2010,2659.7217
Latvia,LVA,2015,2268.0542
Latvia,LVA,2019,2038.3757
Monaco,MCO,1990,51.86194
Monaco,MCO,1995,54.021355
Monaco,MCO,2000,47.83034
Monaco,MCO,2005,43.400948
Monaco,MCO,2010,40.6259
Monaco,MCO,2015,36.94238
Monaco,MCO,2019,33.539062
Spain,ESP,1990,84809.67
Spain,ESP,1995,84450.734
Spain,ESP,2000,85700.54
Spain,ESP,2005,82784.66
Spain,ESP,2010,73164.42
Spain,ESP,2015,69042.83
Spain,ESP,2019,65932.36
Switzerland,CHE,1990,6482.4697
Switzerland,CHE,1995,6628.255
Switzerland,CHE,2000,6373.2217
Switzerland,CHE,2005,5828.3516
Switzerland,CHE,2010,5396.0103
Switzerland,CHE,2015,5145.7075
Switzerland,CHE,2019,5119.3926
