Entity,Code,Year,Deaths - Meningitis - Sex: Both - Age: Under 5 (Rate)
Niger,NER,1990,549.77
Niger,NER,1995,592.44
Niger,NER,2000,445.67
Niger,NER,2005,336.7
Niger,NER,2010,216.57
Niger,NER,2015,170.18
Niger,NER,2019,128.87
Nigeria,NGA,1990,194.77
Nigeria,NGA,1995,193.38
Nigeria,NGA,2000,183.86
Nigeria,NGA,2005,164.53
Nigeria,NGA,2010,144.21
Nigeria,NGA,2015,114.04
Nigeria,NGA,2019,97.52
Turkey,TUR,1990,22.62
Turkey,TUR,1995,16.79
Turkey,TUR,2000,12.04
Turkey,TUR,2005,7.07
Turkey,TUR,2010,2.77
Turkey,TUR,2015,1.89
Turkey,TUR,2019,1.39
United Kingdom,GBR,1990,4.93
United Kingdom,GBR,1995,3.77
United Kingdom,GBR,2000,3.26
United Kingdom,GBR,2005,2.74
United Kingdom,GBR,2010,1.48
United Kingdom,GBR,2015,1.16
United Kingdom,GBR,2019,1.01
