Entity,Code,Year,Share of the population using improved sanitation facilities
High-income countries,,2000,98.91249
High-income countries,,2005,98.8582
High-income countries,,2010,99.16765
High-income countries,,2015,99.40373
High-income countries,,2020,99.51118
High-income countries,,2022,99.526505
Low-income countries,,2000,30.966337
Low-income countries,,2005,34.122074
Low-income countries,,2010,37.73409
Low-income countries,,2015,40.27232
Low-income countries,,2020,43.652695
Low-income countries,,2022,48.328426
Lower-middle-income countries,,2000,39.99946
Lower-middle-income countries,,2005,50.762478
Lower-middle-income countries,,2010,61.407997
Lower-middle-income countries,,2015,71.80661
Lower-middle-income countries,,2020,81.33491
Lower-middle-income countries,,2022,84.68835
Upper-middle-income countries,,2000,68.73701
Upper-middle-income countries,,2005,75.62487
Upper-middle-income countries,,2010,82.63348
Upper-middle-income countries,,2015,88.919945
Upper-middle-income countries,,2020,94.33843
Upper-middle-income countries,,2022,96.28718
World,OWID_WRL,2000,61.20861
World,OWID_WRL,2005,67.493805
World,OWID_WRL,2010,74.03003
World,OWID_WRL,2015,80.12507
World,OWID_WRL,2020,85.67318
World,OWID_WRL,2022,87.921196
