Entity,Code,Year,Child mortality rate - Sex: all - Age: 0-4 - Variant: estimates
Africa (UN),,1950,32.39037
Africa (UN),,1960,27.162851
Africa (UN),,1970,23.64424
Africa (UN),,1980,19.30871
Africa (UN),,1990,16.4415
Africa (UN),,2000,13.88016
Africa (UN),,2010,9.3195
Africa (UN),,2021,6.6061997
Asia (UN),,1950,25.01067
Asia (UN),,1960,25.96785
Asia (UN),,1970,15.38264
Asia (UN),,1980,11.87642
Asia (UN),,1990,8.91366
Asia (UN),,2000,6.73453
Asia (UN),,2010,4.1965
Asia (UN),,2021,2.6907802
Europe (UN),,1950,8.72604
Europe (UN),,1960,4.82932
Europe (UN),,1970,3.51195
Europe (UN),,1980,2.74273
Europe (UN),,1990,1.73893
Europe (UN),,2000,1.0949199
Europe (UN),,2010,0.66636
Europe (UN),,2021,0.42807
Latin America and the Caribbean (UN),,1950,20.867779
Latin America and the Caribbean (UN),,1960,15.94386
Latin America and the Caribbean (UN),,1970,12.17899
Latin America and the Caribbean (UN),,1980,8.539
Latin America and the Caribbean (UN),,1990,5.54705
Latin America and the Caribbean (UN),,2000,3.33814
Latin America and the Caribbean (UN),,2010,2.28726
Latin America and the Caribbean (UN),,2021,1.6176399
Northern America (UN),,1950,3.8214297
Northern America (UN),,1960,3.07811
Northern America (UN),,1970,2.4039102
Northern America (UN),,1980,1.49721
Northern America (UN),,1990,1.12311
Northern America (UN),,2000,0.82824004
Northern America (UN),,2010,0.71235
Northern America (UN),,2021,0.617
Oceania (UN),,1950,9.2910595
Oceania (UN),,1960,7.02727
Oceania (UN),,1970,5.49962
Oceania (UN),,1980,4.1421003
Oceania (UN),,1990,3.24575
Oceania (UN),,2000,2.96872
Oceania (UN),,2010,2.51599
Oceania (UN),,2021,1.96735
