Entity,Code,Year,Share of car stocks that are electric
China,CHN,2010,0.003
China,CHN,2012,0.019
China,CHN,2014,0.069
China,CHN,2016,0.38
China,CHN,2018,1.1
China,CHN,2020,1.8
China,CHN,2022,4.9
Norway,NOR,2010,0.12
Norway,NOR,2012,0.34
Norway,NOR,2014,1.4
Norway,NOR,2016,4.3
Norway,NOR,2018,9.0
Norway,NOR,2020,17.0
Norway,NOR,2022,27.0
Sweden,SWE,2010,9.2e-05
Sweden,SWE,2012,0.028
Sweden,SWE,2014,0.15
Sweden,SWE,2016,0.55
Sweden,SWE,2018,1.4
Sweden,SWE,2020,3.6
Sweden,SWE,2022,8.8
United States,USA,2010,0.0017
United States,USA,2012,0.034
United States,USA,2014,0.14
United States,USA,2016,0.26
United States,USA,2018,0.48
United States,USA,2020,0.77
United States,USA,2022,1.3
World,OWID_WRL,2010,0.002
World,OWID_WRL,2012,0.02
World,OWID_WRL,2014,0.072
World,OWID_WRL,2016,0.19
World,OWID_WRL,2018,0.45
World,OWID_WRL,2020,0.83
World,OWID_WRL,2022,2.1
