Entity,Code,Year,Primary energy consumption per GDP (kWh/$),"GDP per capita, PPP (constant 2017 international $)",Continent
Afghanistan,AFG,2018,0.501632,2060.699,
Albania,ALB,2018,1.2359154,13319.495,
Angola,AGO,2018,0.59841573,6878.5933,
Argentina,ARG,2018,1.1868547,22747.242,
Australia,AUS,2018,1.3123833,49052.816,
Austria,AUT,2018,1.0681287,55217.285,
Azerbaijan,AZE,2018,1.0693367,14209.593,
Bahrain,BHR,2018,3.382977,48937.66,
Barbados,BRB,2018,1.9962884,16003.857,
Belarus,BLR,2018,1.721928,18974.7,
Belgium,BEL,2018,1.5718392,51113.48,
Benin,BEN,2018,1.2247672,3040.1675,
Bolivia,BOL,2018,1.2400895,8466.293,
Botswana,BWA,2018,0.6563558,14962.081,
Burundi,BDI,2018,0.45691714,740.44824,
Cambodia,KHM,2018,0.98907924,4217.6216,
Cameroon,CMR,2018,0.5750814,3732.5012,
Canada,CAN,2018,2.4416378,48962.48,
Cape Verde,CPV,2018,1.1027565,6534.4604,
Chad,TCD,2018,0.22852634,1563.544,
Colombia,COL,2018,0.8566011,14426.435,
Costa Rica,CRI,2018,0.879984,20503.277,
Cyprus,CYP,2018,1.1681166,40099.836,
Denmark,DNK,2018,0.731637,56178.773,
Djibouti,DJI,2018,1.137051,4589.3784,
Egypt,EGY,2018,0.87340283,10783.762,
Estonia,EST,2018,2.1992543,34979.867,
Gabon,GAB,2018,0.52542245,14254.462,
Ghana,GHA,2018,0.8082384,5125.2495,
Guinea,GIN,2018,0.7396996,2471.719,
Honduras,HND,2018,1.2724228,5561.2627,
Iran,IRN,2018,2.2069016,14628.946,
Ireland,IRL,2018,0.59329426,83340.39,
Italy,ITA,2018,0.8923705,42045.92,
Jamaica,JAM,2018,1.7849125,10160.764,
Kazakhstan,KAZ,2018,1.7318214,25544.346,
Kyrgyzstan,KGZ,2018,2.4764743,5133.152,
Laos,LAO,2018,2.718915,7546.3345,
Latvia,LVA,2018,0.92962396,30051.402,
Lesotho,LSO,2018,0.89473647,2541.4526,
Liberia,LBR,2018,1.3942115,1521.7335,
Libya,LBY,2018,2.0425484,25734.168,
Luxembourg,LUX,2018,1.3260281,114164.47,
Malawi,MWI,2018,0.4413119,1478.4248,
Malaysia,MYS,2018,1.5634327,26835.81,
Mozambique,MOZ,2018,2.3809133,1292.8977,
Namibia,NAM,2018,1.0078398,10266.171,
Niger,NER,2018,0.5072024,1193.2656,
Puerto Rico,PRI,2018,0.7412479,34223.1,
Russia,RUS,2018,2.3362286,26656.41,
Rwanda,RWA,2018,0.26772466,2050.441,
Saudi Arabia,SAU,2018,1.8491659,45840.84,
Singapore,SGP,2018,2.318315,98336.95,
Tajikistan,TJK,2018,1.854417,3405.0908,
Thailand,THA,2018,1.3183639,17669.045,
Togo,TGO,2018,0.8498432,2020.9656,
Turkmenistan,TKM,2018,2.5492725,14321.14,
Ukraine,UKR,2018,2.3462598,12336.927,
Uzbekistan,UZB,2018,1.5841417,7082.9253,
Zimbabwe,ZWE,2018,2.280811,2399.6216,
