Entity,Code,Year,Fertilizer consumption (kilograms per hectare of arable land)
Cote d'Ivoire,CIV,1961,4.204167
Cote d'Ivoire,CIV,1970,12.0435295
Cote d'Ivoire,CIV,1980,27.161125
Cote d'Ivoire,CIV,1990,15.226337
Cote d'Ivoire,CIV,2000,23.964285
Cote d'Ivoire,CIV,2010,32.08586
Cote d'Ivoire,CIV,2020,51.8755
France,FRA,1961,123.589714
France,FRA,1970,267.06384
France,FRA,1980,321.01077
France,FRA,1990,319.53128
France,FRA,2000,225.82051
France,FRA,2010,150.53796
France,FRA,2020,168.99239
Gabon,GAB,1980,0.34364262
Gabon,GAB,1990,3.6045017
Gabon,GAB,2000,0.9230769
Gabon,GAB,2010,3.16
Gabon,GAB,2020,21.272707
