Entity,Code,Year,Age-standardized suicide rate - Sex: both sexes,Gini coefficient,Population,Continent
Africa,,2019,,,1327701380.0,
Albania,ALB,2019,3.72,0.30115768,2873883.0,
Angola,AGO,2019,12.5546,,32353592.0,
Armenia,ARM,2019,2.66,0.30031213,2820604.0,
Asia,,2019,,,4627738749.0,
Bangladesh,BGD,2019,3.85,,165516224.0,
Belgium,BEL,2019,13.9283,0.27219802,11510569.0,
Bolivia,BOL,2019,6.82,0.41644758,11777318.0,
Brazil,BRA,2019,6.41,0.5348577,211782880.0,
Cameroon,CMR,2019,15.9215,,25782342.0,
Central African Republic,CAF,2019,22.963,,5209329.0,
Chile,CHL,2019,8.04,,19039484.0,
China,CHN,2019,6.67,0.38168344,1421864064.0,
Colombia,COL,2019,3.74,0.5133497,50187404.0,
Costa Rica,CRI,2019,7.62,0.48191166,5084527.0,
Cote d'Ivoire,CIV,2019,15.6586,,26147544.0,
Czechia,CZE,2019,9.48,0.25262198,10536876.0,
Djibouti,DJI,2019,11.9485,,1073999.0,
Eswatini,SWZ,2019,40.4572,,1169620.0,
Ethiopia,ETH,2019,9.45,,114120592.0,
Europe,,2019,,,747418251.0,
Germany,DEU,2019,8.27,0.31719428,83148144.0,
Guatemala,GTM,2019,6.23,,17106338.0,
Guinea,GIN,2019,12.3257,,12877537.0,
Honduras,HND,2019,2.58,0.48168167,9958832.0,
Iceland,ISL,2019,11.1504,,360787.0,
India,IND,2019,12.9087,0.3502112,1383112064.0,
Indonesia,IDN,2019,2.55,0.37610123,269582880.0,
Iran,IRN,2019,5.13,0.4093597,86564208.0,
Israel,ISR,2019,5.15,,8607922.0,
Italy,ITA,2019,4.33,0.34587252,59727936.0,
Kiribati,KIR,2019,30.5625,0.27832702,124252.0,
Laos,LAO,2019,5.98,,7212058.0,
Lesotho,LSO,2019,87.4824,,2225710.0,
Lithuania,LTU,2019,20.1545,0.35253152,2849083.0,
Luxembourg,LUX,2019,8.62,0.34241262,619981.0,
Malta,MLT,2019,5.32,0.3104208,503646.0,
Mexico,MEX,2019,5.29,,125085312.0,
Mozambique,MOZ,2019,23.1947,0.5045398,30285602.0,
Myanmar,MMR,2019,2.96,,53040212.0,
Namibia,NAM,2019,13.5141,,2446648.0,
Niger,NER,2019,10.1456,,23443400.0,
Nigeria,NGA,2019,6.87,,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,9.77,,223293280.0,
Peru,PER,2019,2.73,0.41562784,32824864.0,
Portugal,PRT,2019,7.22,0.32762748,10289921.0,
Russia,RUS,2019,21.5962,0.37691438,145742288.0,
Serbia,SRB,2019,7.86,0.28953245,7401056.0,
Slovenia,SVN,2019,13.9658,0.24384232,2112905.0,
South Africa,ZAF,2019,23.4856,,58087060.0,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,21.1625,,51803832.0,
South Sudan,SSD,2019,6.69,,10447677.0,
Spain,ESP,2019,5.28,0.34305838,47131372.0,
Sri Lanka,LKA,2019,12.8878,0.37663776,21649664.0,
Tanzania,TZA,2019,8.15,,59872584.0,
Turkey,TUR,2019,2.34,0.41909108,83481688.0,
Uganda,UGA,2019,10.4467,0.42705452,42949076.0,
Ukraine,UKR,2019,17.7287,0.26619467,44211100.0,
United States,USA,2019,14.5111,0.41535568,334319680.0,
Uruguay,URY,2019,18.8276,0.39676544,3428412.0,
Zambia,ZMB,2019,14.4258,,18380478.0,
