Entity,Code,Year,Political regime
Armenia,ARM,2005,0
Armenia,ARM,2008,0
Armenia,ARM,2010,0
Armenia,ARM,2012,0
Armenia,ARM,2014,0
Armenia,ARM,2016,0
Armenia,ARM,2018,0
Armenia,ARM,2020,0
Armenia,ARM,2022,1
Bulgaria,BGR,2005,1
Bulgaria,BGR,2008,1
Bulgaria,BGR,2010,1
Bulgaria,BGR,2012,1
Bulgaria,BGR,2014,1
Bulgaria,BGR,2016,1
Bulgaria,BGR,2018,1
Bulgaria,BGR,2020,1
Bulgaria,BGR,2022,1
Nigeria,NGA,2005,0
Nigeria,NGA,2008,0
Nigeria,NGA,2010,0
Nigeria,NGA,2012,0
Nigeria,NGA,2014,0
Nigeria,NGA,2016,0
Nigeria,NGA,2018,0
Nigeria,NGA,2020,0
Nigeria,NGA,2022,0
Vietnam,VNM,2005,0
Vietnam,VNM,2008,0
Vietnam,VNM,2010,0
Vietnam,VNM,2012,0
Vietnam,VNM,2014,0
Vietnam,VNM,2016,0
Vietnam,VNM,2018,0
Vietnam,VNM,2020,0
Vietnam,VNM,2022,0
